n_ess,run,gen,gbest_f,mean_f,std_f,worst_f,elapsed_s,coef_cache_hit_rate_cumulative
1,0,0,3178640.668237157,65805973.04857165,49428464.72502674,196446348.76334286,60.835985900019296,0.0
1,0,1,-2846076.9718388673,40289067.90374995,39661444.40763391,148241806.51405287,56.912862700002734,0.0
1,0,2,-2846076.9718388673,21255053.519800123,26517311.636666115,78083404.18103963,40.91829719999805,0.025974025974025976
1,0,3,-2846076.9718388673,8475949.894412167,16188877.007639127,62924455.150202125,30.979230600001756,0.021505376344086023
1,0,4,-2853326.886852294,3104253.457881137,7304930.717916592,36834789.777034655,24.991870400030166,0.019230769230769232
1,0,5,-2853326.886852294,1248574.7305178,2953227.043129703,12112585.666630639,24.26489600003697,0.02608695652173913
1,0,6,-2981985.5043580383,35304.91998592261,1437887.2573959923,3017774.6790923965,32.317294299951755,0.023076923076923078
1,0,7,-3657520.0888257474,2925573.936791448,6446646.685532355,22723651.57329114,45.01196470001014,0.0196078431372549
1,0,8,-3657520.0888257474,1773883.0961238218,4273155.718969717,13517728.022513947,39.8421811000444,0.017241379310344827
1,0,9,-3657520.0888257474,1020374.4454513168,4561117.056588612,11754337.984708846,42.62739299994428,0.015228426395939087
1,0,10,-3657520.0888257474,476535.0871603597,3023223.4734561658,12952621.449311305,40.108014500001445,0.031818181818181815
1,0,11,-3657520.0888257474,11081.382664701436,4693235.554119545,15925403.933922771,45.31639799999539,0.044897959183673466
1,0,12,-3657520.0888257474,1936671.6787922862,6087041.503365845,20623084.50767158,43.436075999983586,0.05185185185185185
1,0,13,-3741485.4965597093,-328969.417062251,4494397.720607296,18077415.433526065,54.24521349999122,0.056856187290969896
1,0,14,-3741485.4965597093,-1034001.6825630927,2633269.545546677,7605102.383342888,50.90377420000732,0.06422018348623854
1,0,15,-3741485.4965597093,-1267920.9251195586,2089733.631846187,4468650.878079798,47.35931580001488,0.08426966292134831
1,0,16,-3741485.4965597093,99753.09519658098,5411844.565778348,17422882.671839006,40.625220700050704,0.10443864229765012
1,0,17,-3741485.4965597093,-816285.9268761476,3854771.6627804018,13036279.81319801,38.819317600049544,0.13138686131386862
1,0,18,-3744857.0814483333,-1544124.6791349887,2517032.4313087077,7853418.976677565,46.74395450000884,0.1515837104072398
1,0,19,-3744857.0814483333,-1726185.950225256,2548597.597497941,5730293.08056091,40.63506939995568,0.1843220338983051
1,0,20,-3744857.0814483333,-2741691.3065893487,1167237.2269149404,1539148.9784907717,40.44757830002345,0.21272365805168986
1,0,21,-3744857.0814483333,-2273068.239224484,2501870.878722159,9484713.991002904,41.94385639997199,0.23551401869158878
1,0,22,-3744857.0814483333,-2961624.154259354,1231714.4432629975,1713398.3221940435,30.312975900014862,0.2703180212014134
1,0,23,-3773137.8858283535,-2719753.991961878,1952483.71117634,6298321.446350403,34.20407390000764,0.2959866220735786
1,0,24,-3773137.8858283535,-3089272.2230327968,1333512.9462935438,2767812.0875442177,35.9464804000454,0.3179650238473768
1,0,25,-3773217.3157937285,-3064319.548954742,2315879.1738378154,9699025.789038721,34.377748600032646,0.3424242424242424
1,0,26,-3773217.3157937285,-2926467.6272982405,2661921.734489301,11277459.324852183,25.24751140002627,0.36903039073806077
1,0,27,-3774664.1268666126,-3076912.436770508,2142937.841983946,8426546.684221722,24.601896099979058,0.39280774550484093
1,0,28,-3774664.1268666126,-3059262.4619143098,1819581.3783450266,4388334.625800435,28.83026759995846,0.4119205298013245
1,0,29,-3776046.7842295393,-3340321.112847383,1219198.2955270968,2983615.1804951252,25.866270800004713,0.4320203303684879
1,0,30,-3776236.1842065323,-3291926.790350683,1010254.9206279793,1566404.2329210378,22.881022899993695,0.452991452991453
