n_ess,run,gen,batch_size,eval_cumulative,gbest_f,mean_f,std_f,worst_f,elapsed_s,coef_cache_hit_rate_cumulative
1,0,0,36,36,3178640.668232873,65873194.305829085,48198963.91198593,196446348.7633448,68.46534540000721,0.0
1,0,1,36,72,-2672525.1963691674,54264526.103018306,55863493.587947115,219668721.68864504,51.18318100000033,0.0
1,0,2,35,107,-2672525.1963691674,31096191.303988233,33901804.43782863,139362196.41814592,50.210034999996424,0.011494252873563218
1,0,3,35,142,-2672525.1963691674,23372557.269696385,25462678.133339867,111484148.17045617,49.06704960000934,0.017543859649122806
1,0,4,35,177,-2672525.1963691674,14279170.23772532,24501384.431532014,115892498.56209512,37.625033699994674,0.014925373134328358
1,0,5,34,211,-2672525.1963691674,7742554.048674032,18905630.872281592,91527965.83224407,29.751765700028045,0.013333333333333334
1,0,6,34,245,-2781383.849296293,5735143.2198535865,17738284.180541188,100588801.83476487,32.52330289999372,0.023809523809523808
1,0,7,34,279,-3659098.239346843,5463755.70451536,22834248.360840987,134581708.54194418,28.747894600004656,0.021739130434782608
1,0,8,34,313,-3719003.7608441003,6402313.358687648,14322318.154734924,72651926.93017916,27.20323980000103,0.02512562814070352
1,0,9,33,346,-3719003.7608441003,2042706.1620266852,5082934.284479642,15653927.463056058,29.697534900013125,0.027777777777777776
1,0,10,33,379,-3731371.490872532,1267397.6483229846,5130600.749137474,18569806.090007428,37.472813000000315,0.025423728813559324
1,0,11,33,412,-3806236.764133023,-111293.2454747329,3355660.8610761533,9481286.887819387,33.09521669999231,0.02766798418972332
1,0,12,32,444,-3806236.764133023,816339.6779025636,5322135.232310597,17890873.77360887,35.05389290000312,0.03663003663003663
1,0,13,32,476,-3892247.54076178,84900.17027950316,4804399.662102138,14193236.366597222,36.19966550002573,0.047619047619047616
1,0,14,32,508,-3892247.54076178,-675302.7558014928,3807050.064538648,12721061.757494772,42.481875199999195,0.0625
