n_ess,run,gen,gbest_f,mean_f,std_f,worst_f,elapsed_s
3,0,0,106002145.55282086,1648619874.6915398,2264179627.306928,10035815695.737047,13.922744400002557
3,0,1,105415406.50345345,1217472650.9290404,2519657118.1150074,11484703517.056683,5.79001419999986
3,0,2,77029667.25406773,2285706319.2446823,3390383174.085406,13346745870.066778,5.954003099999682
3,0,3,44464890.96553668,802654291.8345919,2135092532.3541002,11358064615.028154,5.438998499997979
3,0,4,18027703.204970375,386631545.92104524,854391603.882781,4445404092.709171,4.943285400000605
3,0,5,6540373.159576327,125550788.06649521,259129807.7546283,1326280273.8699915,4.7236322999997356
3,0,6,4525285.926863828,32878304.824063186,60782540.14091549,316878303.5614166,4.237908899998729
3,0,7,4155042.7845763154,10981087.00302807,10193298.393682018,53003360.820263006,4.350953699999081
3,0,8,3550706.8525422886,7088818.174476149,1180425.3655722372,11441139.176298194,4.138281399998959
3,0,9,3550706.8525422886,6632241.17589759,1052965.1322193579,8380051.708246217,3.745316600001388
3,0,10,3550706.8525422886,5739796.894846037,1646640.030492643,10248455.308914654,3.046903000002203
3,0,11,3216971.6434688456,5579038.776958395,3971940.9029655303,26941771.226490103,3.0941691999978502
3,0,12,2404648.9378279615,4553855.204831628,1423282.430025852,7229891.661210784,3.0458144000003813
3,0,13,1530897.0844022483,3634617.375114099,1388870.7903151463,6748659.772951561,3.0656887000004645
3,0,14,1003397.1382378582,3012661.588671359,2157918.4641976194,12031671.861575268,3.1652257000023383
3,0,15,-202702.19294310175,2099843.6686606593,1779452.3846368133,5742929.762862787,3.0128153000005113
3,0,16,-979530.130352648,1189391.629300978,2310475.5014519617,8525632.264574168,3.290001299999858
3,0,17,-1973793.5896425005,114840.13106459583,1951998.2624458643,4338477.828952305,3.5076847999989695
3,0,18,-2824715.165841982,-1287178.3375147416,1747553.4100743348,4903023.4262783155,3.887998599999264
3,0,19,-3050699.642229067,2111196.8570589223,5046003.411719835,13901452.5534282,3.8571043999982066
3,0,20,-3058072.320571482,1790132.810929061,6291647.2720871065,22985022.27509498,3.5022329999992508
3,0,21,-3058072.320571482,-1608799.8811391902,2553262.6493334235,10034251.693840545,3.409410600001138
3,0,22,-3058072.320571482,-445952.23204245605,3217276.7901460384,9070820.706036482,3.4457762999991246
3,0,23,-3058072.320571482,-505351.6964139749,4258896.776432542,13494604.26457325,3.604762599999958
3,0,24,-3058072.320571482,-1808877.884072351,2416821.707267512,9588148.968232132,3.36080519999814
3,0,25,-3069396.9675638136,-2183683.448425263,1574381.36950633,4951376.23074477,3.374786700002005
3,0,26,-3072661.601061251,-1408538.0031243754,3916161.970006334,14243414.315600764,3.3554425000002084
3,0,27,-3079471.9367838018,-598903.259330628,3520927.676319063,12530758.835039325,3.3493680999999924
3,0,28,-3079471.9367838018,-2231860.843908689,1543227.0291579997,4411570.390125333,3.525539199999912
3,0,29,-3079471.9367838018,-2320712.0472591035,2258656.621046602,9751271.860409454,3.3529927999989013
3,0,30,-3083641.313588161,-1279128.7794677368,3124240.8838388897,8523774.817451093,3.204051500000787
3,1,0,41408255.71044591,1862102624.362551,5364117692.950141,28162413982.137093,3.7699436000002606
3,1,1,25615815.669618353,969611882.8938433,1977948095.5749638,7925451327.598795,3.792614900001354
3,1,2,16128631.877987608,570397133.3080684,1120771367.7098594,4241830474.630293,3.4379994999981136
3,1,3,10017178.298648193,185927355.6111053,430897812.00054276,2105542350.6206708,3.1617764000002353
3,1,4,7813902.661555018,47184717.717601575,123327506.20442814,643239278.7418599,2.7235222999988764
3,1,5,4543130.7208904885,348675817.1910973,1850687448.5057702,10650286896.412346,2.4481544000009308
3,1,6,2699458.140510626,15589519.091558248,48080632.50055231,275843299.94125336,2.2744515999984287
3,1,7,1555322.6569890457,8516313.898630591,30735390.79734114,179390222.70202628,2.0763264000015624
3,1,8,306092.6404875469,5020638.507336308,21805578.831020735,126369045.11325426,2.0575564999999187
3,1,9,-0.026777546323556223,1418921.020971538,7035901.072831345,40533350.341336906,2.0920029999979306
3,1,10,-0.026777546323556223,10588.486383093317,58954.32768155843,338832.2910830778,2.045789900003001
3,1,11,-0.026777546323556223,-0.023446364260898467,5.133781535764199e-06,-0.023437707759571325,2.0895937999994203
3,1,12,-0.026777546323556223,-0.023446817592164104,6.417112741646568e-06,-0.023437031425777022,2.023493700002291
3,1,13,-0.026777546323556223,-0.023447241057190593,4.471306426573126e-06,-0.023436449427528316,2.091959500001394
3,1,14,-0.026777546323556223,-0.02344748149949477,5.049262203639237e-06,-0.02343740201551192,2.364072100001067
3,1,15,-0.026777546323556223,-0.023445969685078838,4.533267679033084e-06,-0.023436141615329475,2.3613437000021804
3,1,16,-0.026777546323556223,-0.0234469047088538,5.144302821197075e-06,-0.02343528901984726,2.4007602000019688
3,1,17,-0.026777546323556223,-0.02344745776181123,4.70684080703009e-06,-0.023438274050580077,2.3732552000001306
3,1,18,-0.026777546323556223,-0.023446807896961963,4.0019199532076014e-06,-0.023438291513633303,2.3904968999995617
3,1,19,-0.026777546323556223,-0.023447322753966715,4.3189644835304456e-06,-0.023435287228299018,2.3977351000030467
3,1,20,-0.026777546323556223,-0.023446618551873022,4.485924719888737e-06,-0.023437922910476416,2.362165800001094
3,1,21,-0.026777546323556223,-0.023446036859298747,4.5517277831487335e-06,-0.023437798729609938,2.352965400001267
3,1,22,-0.026777546323556223,-0.023447566954005294,4.501612085662075e-06,-0.02343812312548721,2.3519412000023294
3,1,23,-0.026777546323556223,-0.023446590265610856,5.26512619685909e-06,-0.02343301490559746,2.4359646999982942
3,1,24,-0.026777546323556223,-0.023446600568295006,3.6772629588339594e-06,-0.023439101727987577,2.4343254000013985
3,1,25,-0.026777546323556223,-0.023446346762868664,4.503062029984787e-06,-0.02343871323297364,2.410114300000714
3,1,26,-0.026777546323556223,-0.023446413069005467,4.403392796359791e-06,-0.023434883515811578,2.4210405000012543
3,1,27,-0.026777546323556223,-0.02344699628589242,4.986288031924756e-06,-0.023433643077721555,2.4201801999988675
3,1,28,-0.026777546323556223,-0.023445861141325353,4.412312146275363e-06,-0.023439102331289874,2.412573599998723
3,1,29,-0.026777546323556223,-0.023446774766150702,4.401503970696704e-06,-0.023438020370369017,2.360188200000266
3,1,30,-0.026777546323556223,-0.023447722622986056,4.545602650312576e-06,-0.023439781836962936,2.4094756999984384
3,2,0,163834433.3528906,1559621216.804576,5939764137.736274,34485587688.265785,3.819663500002207
3,2,1,101965114.64885,1236163279.335576,2398048551.3867197,12284326160.711147,3.8399697999993805
3,2,2,23727648.763209194,1451578203.8194146,1918963005.797363,6348936391.300272,3.7292216999994707
3,2,3,8135070.031503592,342143293.01487386,664760172.7773786,3197914629.2364025,3.4499648999990313
3,2,4,6953763.36202711,85941954.19929703,119138126.46022306,533031882.8238655,3.060628100000031
3,2,5,6366398.52064289,24204697.073608797,35797759.80077223,178299738.92774397,2.5286436999995203
3,2,6,3152038.9765463807,12828564.01485534,24729191.5197711,141617314.91873068,2.1871003999985987
3,2,7,1528784.185061548,8984316.935184132,16053324.367670467,93113639.13285208,2.193966900002124
3,2,8,1528784.185061548,6728648.825673083,7399179.368246531,43692615.30259699,2.292538900001091
3,2,9,461036.4766739011,4134423.176716414,3043555.0434291405,13392267.159448577,2.485874900001363
3,2,10,-900817.1276728194,2645718.160572662,3571563.70113049,15921137.006065557,2.675956799997948
3,2,11,-1705012.0100009926,3895513.2505397154,6381599.204554005,26878663.88185118,2.6332839999995485
3,2,12,-2897348.535593806,4402827.025540546,6863432.4761558,21451254.99038058,2.8364733999987948
3,2,13,-2897348.535593806,1297472.39076895,4795754.001083106,14639243.275257876,2.897092999999586
3,2,14,-2897348.535593806,154598.24431264735,2877866.7776176403,6913604.619131185,2.9985731999986456
3,2,15,-2897348.535593806,1081814.086975289,3883015.0932362024,9677743.143699758,3.029942500001198
3,2,16,-2903892.170944283,1140004.6928334353,5652778.090814974,19608943.51053311,2.873209500001394
3,2,17,-3036658.3991082273,-838374.9060706608,3538351.8822288834,14732026.75875611,3.110994099999516
3,2,18,-3036658.3991082273,-9720.581658776384,3745622.832667501,12486333.679036312,2.9937896999981604
3,2,19,-3036658.3991082273,-789271.750087209,3609248.5305156666,11825006.46661119,3.02054489999864
3,2,20,-3036658.3991082273,-190121.98939189396,4494859.891311638,12064164.085164575,2.9759414000000106
3,2,21,-3046692.4156514686,-869558.0120130199,3792452.4211157644,11821904.947168127,3.0422611000030884
3,2,22,-3046692.4156514686,-1403036.490157139,2916600.5796434265,10582602.87706054,2.9666924999983166
3,2,23,-3046692.4156514686,-1548138.9226778685,2341984.1320555187,7140242.2013583975,3.049462899998616
3,2,24,-3046692.4156514686,-2256396.908556118,1416202.6867256851,3368334.054529894,3.0080609999968146
3,2,25,-3046692.4156514686,-2226154.687441225,1667618.2325546101,5332680.074494567,3.1006354999990435
3,2,26,-3046692.4156514686,-1768251.4409821741,2321655.2103325045,7187247.433956715,3.0040757000024314
3,2,27,-3046692.4156514686,-2629390.0644270405,637251.7927680662,-833190.5665533599,3.0311804999982996
3,2,28,-3046692.4156514686,-2450161.9319024906,1353696.9437063425,3822861.9045526274,3.0393715999998676
3,2,29,-3046692.4156514686,-2547903.81439687,1225054.324572414,2310326.9070686325,3.0732965000024706
3,2,30,-3053509.5340811033,-2127341.0039571994,2601061.366795191,11073390.46146525,3.0235653999989154
