n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer,j_net,b_energy,b_defer,b_arb,b_loss,cost,v_violation,i_violation,penalty_v,penalty_line,decomposition_ok
1,0,1174127800,-3055214.7933082655,"[32.0, 0.1791638074624396, 0.41968785137574466]",304.04591939999955,0,170,-1.3650062768988391e-05,3055214.7933103405,2131070.060265679,11457727.52856819,1943531.1146857822,187538.9455804401,10533582.795523528,0.0,0.0,0.0,0.0,True
1,1,500939758,-3087887.6749510765,"[16.0, 0.17500230789258597, 0.4099653429314366]",298.8216666999979,0,192,-1.0406483497149566e-05,3087887.674952179,2082159.4455299773,11295256.467980694,1898470.6852105805,183688.76031983458,10289528.238558492,0.0,0.0,0.0,0.0,True
1,2,4007147622,-3055214.9047964793,"[32.0, 0.17916634497804865, 0.41968672412997543]",299.00268909999795,0,217,-1.0406483497149566e-05,3055214.9048029985,2131070.0610260265,11457708.440796543,1943531.7932089856,187538.2678177185,10533563.59701957,0.0,0.0,0.0,0.0,True
1,3,1850291428,-3088702.798379246,"[15.0, 0.17564020751691975, 0.4114334063300634]",298.93338589999985,0,189,-1.1757974860415743e-05,3088702.7983869724,2096211.7531849646,11318899.33751004,1905306.3170241497,190905.43616109696,10326408.292308033,0.0,0.0,0.0,0.0,True
1,4,659528345,-3088701.898938339,"[15.0, 0.1756398842856064, 0.41143313871047055]",299.4908359000001,0,208,-1.0001036088169712e-05,3088701.8989370298,2096209.785541747,11318893.059264624,1905304.3746874575,190905.41085465078,10326400.945869341,0.0,0.0,0.0,0.0,True
1,5,75134087,-3088700.7481919546,"[15.0, 0.17564136011589088, 0.4114330699646541]",298.0453232,0,231,-9.730737815516477e-06,3088700.7482001204,2096213.0563974015,11318891.446527414,1905307.9407450887,190905.11565243627,10326403.754724694,0.0,0.0,0.0,0.0,True
1,6,2186645573,-3055216.5468822233,"[32.0, 0.17915805284771213, 0.4196865182855758]",298.50344889999906,0,196,-1.1487676587762508e-05,3055216.5468705557,2131046.6121568894,11457703.650373913,1943507.7086033924,187538.90355406952,10533533.715660248,0.0,0.0,0.0,0.0,True
1,7,819282878,-3087877.7520135846,"[16.0, 0.17498793755991474, 0.4099624203466481]",298.35694650000005,0,205,-1.189312399674236e-05,3087877.752007695,2082105.3030648232,11295187.803173233,1898411.7845246228,183693.51854045538,10289415.354230361,0.0,0.0,0.0,0.0,True
1,8,3329634809,-3088674.817869654,"[15.0, 0.17563485888750033, 0.41142480779132024]",299.156296000001,0,183,-1.0406483497149566e-05,3088674.817870954,2096164.6246913888,11318697.619399052,1905260.9214222603,190903.7032691995,10326187.426219488,0.0,0.0,0.0,0.0,True
1,9,609502706,-3088698.926950231,"[15.0, 0.17562995057927552, 0.41143272970171546]",297.4583558999984,0,241,-1.0947080042456037e-05,3088698.9269413482,2096177.0765983714,11318883.131807376,1905270.0521708883,190907.0244280876,10326361.2814644,0.0,0.0,0.0,0.0,True
