n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer,j_net,b_energy,b_defer,b_arb,b_loss,b_arb_total,b_loss_total,cost,v_violation,i_violation,penalty_v,penalty_line,decomposition_ok,recompute_jnet_delta,recompute_convergence_ratio,recompute_max_p_shift,coef_cache_hit_rate,coef_runpp_total,coef_unique_bs_count,coef_measure_wall_s
1,0,1174127800,-3776673.1917794403,"[16.0, 0.19312040290608923, 0.4350526057306846]",1871.2616630999837,0,37,-5.94656199837118e-06,3776673.1665838044,2433226.832895388,12284947.52867926,1958716.7494881104,465091.33544870606,1964887.8619570832,468338.9709384793,10941501.194990842,0.0,0.0,0.0,0.0,True,217.11748960614204,0.0006652621562987717,0.0005708037628457119,0.6341880341880342,616320,77040,3697.1180858136504
1,1,500939758,-3776672.233687317,"[16.0, 0.1928293088155566, 0.4350867343287521]",1753.9461765000015,0,44,-5393283.9385606,3776672.2336995304,2432639.49153878,12285469.720072288,1958505.2302628525,464719.9105117563,1964671.9763359362,467967.5152025514,10941436.977911538,0.0,0.0,0.0,0.0,True,340.2069325763732,0.00041719945024962983,0.0005703262085719821,0.8181293302540416,302400,37800,1869.8589250957593
1,2,4007147622,-3957413.39487293,"[32.0, 0.21075756924294362, 0.4407012282064791]",1339.4845287000062,0,46,-5.676263725717945e-06,3957413.395070007,2679672.6524079973,12406881.50619508,1962177.222807913,705371.323425201,1968471.8878087807,711200.7645989088,11129140.763533069,0.0,0.0,0.0,0.0,True,166.02595286816359,0.00026987325584324536,0.00021291255993549128,0.8087209302325581,315840,39480,1921.0116437924444
1,3,1850291428,-3957434.6938310917,"[32.0, 0.21061678292052946, 0.4406986520112644]",1203.5013206999865,0,34,-1870447.7706594868,3957434.6937692612,2679384.412477888,12406705.586468376,1962030.2474440807,705233.1536288356,1968323.4428746377,711060.9696030364,11128655.305177003,0.0,0.0,0.0,0.0,True,118.74564626067877,0.00015220368787318813,0.0001591736753099593,0.8783399658897101,205440,25680,1261.1717959990492
1,4,659528345,-3776675.544180125,"[16.0, 0.19265922387265963, 0.4350611077787574]",1679.2867756999913,0,33,-1712415.3621568943,3776675.5781589914,2432097.8451852337,12284892.10282495,1958150.2928013527,464537.1925441893,1964313.6389818017,467784.20620333025,10940314.369851192,0.0,0.0,0.0,0.0,True,209.85182252712548,0.0006863919838483996,0.000570014854073847,0.8437317784256559,257280,32160,1561.7826932999305
1,5,75134087,-3957418.149163373,"[32.0, 0.21081892134748562, 0.4406878329446181]",1575.9919195999973,0,50,-392216.91111847153,3957417.3775707968,2679729.043518209,12406694.941988466,1962182.2716482698,705421.6521227272,1968477.3804403984,711251.6630778414,11129006.60793588,0.0,0.0,0.0,0.0,True,109.0642381682992,0.00013709362168146184,0.00015957389725998472,0.7896613190730838,339840,42480,2035.658201302751
1,6,2186645573,-3957414.62236125,"[32.0, 0.2100760163686248, 0.4407250957953698]",1192.3570653999923,0,40,-5.541114589391327e-06,3957414.6223641075,2678396.1830516304,12406674.404966816,1961613.3892197984,704673.2107482229,1967901.2819991033,710494.9010525697,11127655.96565434,0.0,0.0,0.0,0.0,True,143.69372864626348,0.0001399372267595059,0.00015811111774435838,0.9322228604250431,113280,14160,696.9235970025184
1,7,819282878,-3776455.659139607,"[16.0, 0.19379577008972837, 0.43500104891998326]",1513.2878942000098,0,43,-1294160.0445821246,3776455.6592088714,2434677.623692726,12284086.041843712,1959298.4110767539,465949.62884363765,1965479.8571436969,469197.7665489038,10942308.006327566,0.0,0.0,0.0,0.0,True,224.54675799794495,0.0006591040093984408,0.0005719278433467326,0.8895348837209303,182400,22800,1120.336340099224
1,8,3329634809,-3776712.602137083,"[16.0, 0.19263859551148876, 0.43507034214539547]",1476.8076836000546,0,48,-237402.0235010919,3776712.6021324657,2432080.032238449,12285104.692038516,1958138.2088501137,464530.75411191874,1964301.8107795117,467778.22145873413,10940472.122144498,0.0,0.0,0.0,0.0,True,203.85455974377692,0.000706736088069886,0.0005699857141117995,0.9154113557358053,140160,17520,871.0740248014336
1,9,609502706,-3776559.030794004,"[16.0, 0.19265302414757118, 0.4351596307376954]",1737.1870262000011,0,59,-104336.94063206649,3776559.0308523495,2432483.375502566,12286717.436850922,1958488.5748436276,464582.34212454985,1964653.0066682266,467830.36883381143,10942641.781501139,0.0,0.0,0.0,0.0,True,448.76140859536827,0.0003262838884390392,0.0005700730564595427,0.8208778173190985,289920,36240,1734.0168518028804
1,10,2043793648,-3776688.9016151614,"[16.0, 0.19284258765180756, 0.43507527556116643]",1507.6497885999852,0,39,-207451.43738615516,3776688.9016357567,2432624.2147966987,12285268.803569885,1958475.2509348122,464734.5466984676,1964642.1330730591,467982.08172373165,10941204.116730826,0.0,0.0,0.0,0.0,True,277.6517755202949,0.000515972289853387,0.0005703410791362482,0.9151550614394383,139200,17400,866.9695943032275
1,11,3820478884,-3776648.1483137663,"[16.0, 0.19254515654145957, 0.43510745981163856]",1598.090365000011,0,35,-1708363.5576508217,3776648.1483267453,2431975.499932121,12285747.158083793,1958066.6512409183,464498.78375015734,1964229.0397666057,467746.4601656303,10941074.509689169,0.0,0.0,0.0,0.0,True,394.35444103740156,0.00036734789187510824,0.0005698503373659167,0.9185705916813123,133440,16680,822.3885691017495
1,12,244745249,-3776710.5566234905,"[16.0, 0.19261239663001373, 0.43507489214952655]",1519.8370468000066,0,49,-254690.3872278427,3776710.5566158816,2432026.947305005,12285185.155946042,1958097.2290589418,464518.994477703,1964260.462474978,467766.4848297315,10940501.546635166,0.0,0.0,0.0,0.0,True,216.59824723377824,0.0006640825364530282,0.0005699436756217702,0.9271137026239067,120000,15000,749.5537004013313
1,13,2200731268,-3957406.907247685,"[32.0, 0.20981362489497157, 0.4407339035940405]",1151.9910075999796,0,38,-2989823.2986686775,3957406.907284865,2677896.0279827416,12406586.139088586,1961394.7702047608,704397.222495319,1967680.051477696,710215.9765049485,11127075.259786462,0.0,0.0,0.0,0.0,True,132.88670048303902,0.00016987124604734094,0.00015760260619224198,0.9369942196531792,104640,13080,644.6509955016081
1,14,1142353532,-3776661.2602994125,"[16.0, 0.19281859953300687, 0.4350945158847638]",1565.9197952999966,0,61,-7.568351634290593e-06,3776661.2603057586,2432645.671937818,12285605.60414786,1958523.5587732317,464707.8343771205,1964690.1859337753,467955.4860037652,10941590.01577992,0.0,0.0,0.0,0.0,True,383.09573090821505,0.0003711635066911749,0.0005703131815376766,0.9223529411764706,126720,15840,776.8302229942055
