n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer,j_net,b_energy,b_defer,b_arb,b_loss_avg,b_arb_total,b_loss_total,cost,capex_power_annual,capex_energy_annual,opex,v_violation,i_violation,penalty_v,penalty_line,decomposition_ok,recompute_jnet_delta,recompute_convergence_ratio,recompute_max_p_shift,cross_effect_pct_avg_max,cross_effect_pct_peak_max,cross_effect_mw_avg_total,cross_effect_mw_peak_total,cross_effect_won_avg_annual,coef_cache_hit_rate,coef_runpp_total,coef_unique_bs_count,coef_measure_wall_s
1,0,1174127800,-3962475.581084391,"[31.0, 0.21077405690161, 0.44078144045754286]",1896.4013535999984,0,32,-5.811412862044563e-06,3962475.5810404923,2685439.473866558,12408136.60147176,1961960.8734078687,711306.6580035844,1968256.4557552354,717183.0181112263,11131100.494297825,592093.782286723,7438824.881576635,3100181.830434467,0.0,0.0,0.0,0.0,True,90.17488399147987,7.195820070234865e-05,5.472180298901619e-05,0.11911496116141784,0.11640338377317187,0.010898913629396212,0.011262809398321139,113432.20069167597,0.8754738990959463,409920,51240,2730.6677660983114
1,1,500939758,-3962475.5817800798,"[31.0, 0.21077380047217623, 0.44078145100600874]",1676.2079602000013,0,28,-5393283.938552491,3962475.581768172,2685439.0073245647,12408136.547445757,1961960.6460147803,711306.4228601626,1968256.2259214981,717182.7814026476,11131099.97300215,592093.0619406066,7438825.059597266,3100181.8514642767,0.0,0.0,0.0,0.0,True,90.16668195091188,6.699007996697248e-05,5.472167344890144e-05,0.1191148709258496,0.11640319889260654,0.01089890611504618,0.011262781009722111,113432.12377592696,0.9233217592592593,254400,31800,1664.9692858990456
1,2,4007147622,-3962475.5818667393,"[31.0, 0.21077380498103016, 0.4407814509479657]",1713.0204874000046,0,31,-6.757456816330887e-06,3962475.581609197,2685439.0161687937,12408136.550643116,1961960.6505277224,711306.4270798333,1968256.2304912594,717182.7856776998,11131099.985202713,592093.0746066074,7438825.058617706,3100181.8519783993,0.0,0.0,0.0,0.0,True,90.16638065688312,6.549271170843951e-05,5.472165830899822e-05,0.11911487252026062,0.11640320311231342,0.010898906247346574,0.011262781264985477,113432.12512738124,0.9011764705882352,322560,40320,1992.3827119011257
1,3,1850291428,-3962475.581599327,"[31.0, 0.2107732654957817, 0.44078147211817537]",1677.0157857000013,0,39,-206813.256249245,3962475.5815123655,2685438.0255320854,12408136.42012581,1961960.1680377708,711305.9316566146,1968255.7425226222,717182.2830095919,11131098.86414553,592091.5591171494,7438825.41589564,3100181.8891327386,0.0,0.0,0.0,0.0,True,90.1609128061682,5.787239385828081e-06,5.472136972288488e-05,0.11911468269988153,0.1164027995233406,0.010898890441661369,0.011262753668150438,113431.96334726547,0.9105309474919331,292800,36600,1822.791538600315
1,4,659528345,-3962475.5822575223,"[31.0, 0.2107734108773152, 0.4407814668632092]",1644.0118559999974,0,45,-1712415.3621420278,3962475.581433313,2685438.2938376945,12408136.464562036,1961960.2998618311,711306.0654734093,1968255.8757220712,717182.418115514,11131099.176966418,592091.9675141947,7438825.3272104785,3100181.8822417445,0.0,0.0,0.0,0.0,True,90.15763389877975,7.366859863438535e-05,5.4721456605455465e-05,0.1191147338508258,0.11640291668595061,0.010898894700281492,0.011262767579800048,113432.00693283291,0.919941348973607,262080,32760,1636.362371601077
1,5,75134087,-3962475.581566004,"[31.0, 0.21077384261979046, 0.4407814479536331]",1731.8032236,0,34,-5.94656199837118e-06,3962475.5809170995,2685439.0800581365,12408136.528143892,1961960.678103499,711306.4606044288,1968256.2582159631,717182.8218421718,11131100.02728493,592093.1803391452,7438825.0080840085,3100181.838861774,0.0,0.0,0.0,0.0,True,90.16232524067163,7.24413308962239e-05,5.472169158625417e-05,0.1191148857721395,0.11640323657830884,0.010898907352780984,0.011262767937740392,113432.13645227236,0.9306989088764376,225600,28200,1395.7165399984515
1,6,2186645573,-3962475.5818753224,"[31.0, 0.21077380535146484, 0.44078145094251997]",1534.5792329999967,0,32,-902163.6785325102,3962475.581876008,2685439.01689152,12408136.551173441,1961960.6508958545,711306.4274247865,1968256.2308643714,717182.7860268725,11131099.986188954,592093.0756472102,7438825.058525802,3100181.852015942,0.0,0.0,0.0,0.0,True,90.166657269001,7.953529357253379e-05,5.472165917647098e-05,0.1191148726438286,0.11640320345505778,0.01089890625828005,0.01126278128394631,113432.1252392719,0.9446845289541919,184320,23040,1156.8765228025877
1,7,819282878,-3962475.582470296,"[31.0, 0.21077341060538665, 0.4407814659365916]",1673.181049699997,0,55,-268765.1352555721,3962475.582473913,2685438.2889605686,12408136.447595414,1961960.2958627313,711306.0645842869,1968255.8717119917,717182.4172488282,11131099.15408207,592091.9667503093,7438825.311572466,3100181.8757592947,0.0,0.0,0.0,0.0,True,90.15228610113263,7.320466419630459e-05,5.472145186787014e-05,0.11911473375752821,0.1164029160111319,0.010898894693518457,0.011262767313626298,113432.00687257241,0.9221468593335299,253440,31680,1574.9517256000108
1,8,3329634809,-3962475.582242552,"[31.0, 0.2107734550461932, 0.4407814614223726]",1685.0862250000064,0,36,-5.000518044084856e-06,3962475.5819789805,2685438.3578063846,12408136.404635288,1961960.3245009892,711306.1034884844,1968255.9010115976,717182.4567947463,11131099.180462692,592092.0915907457,7438825.235388486,3100181.853483461,0.0,0.0,0.0,0.0,True,90.14135628938675,7.345716427445905e-05,5.472147231169733e-05,0.11911474941539249,0.11640294392421693,0.010898896001498848,0.011262767803622786,113432.02027749599,0.9319929036073329,220800,27600,1364.0332064005634
1,9,609502706,-3962475.5815754384,"[31.0, 0.21077190291244918, 0.44078152677570753]",1915.4688431000104,0,39,-1462797.373470629,3962475.5815240815,2685435.5343392007,12408136.108147679,1961958.9541762758,711304.6811576155,1968254.5150732764,717181.0192655748,11131096.060962798,592087.7314301424,7438826.338320618,3100181.991212038,0.0,0.0,0.0,0.0,True,90.1522201988846,6.140007381868746e-06,5.472066015184407e-05,0.11911420325968608,0.11640179667727578,0.010898850516407599,0.011262643782616877,113431.55468042388,0.912759643916914,282240,35280,1925.9159432002925
