n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer,j_net,b_energy,b_defer,b_arb,b_loss,b_arb_total,b_loss_total,cost,v_violation,i_violation,penalty_v,penalty_line,decomposition_ok,recompute_jnet_delta,recompute_convergence_ratio,recompute_max_p_shift,cross_effect_pct_avg_max,cross_effect_pct_peak_max,cross_effect_mw_avg_total,cross_effect_mw_peak_total,cross_effect_won_avg_annual,coef_cache_hit_rate,coef_runpp_total,coef_unique_bs_count,coef_measure_wall_s
2,0,1587909317,-3776408.2918289974,"[5.0, 0.0, 0.0, 16.0, 0.19147276754712406, 0.4351996370539679]",1978.411377700002,0,43,-5.4059654530647094e-06,3776408.2917777896,2429370.0304927705,12287077.227531709,1956053.3308753995,463922.84399569203,1962199.3630808175,467170.6674118195,10940038.96624669,0.0,0.0,0.0,0.0,True,446.758081080392,0.00032805369888600264,0.000568056809163775,0.02686497983904605,0.06574366396990067,0.002397710830826405,0.006164074440310863,24429.76703929551,0.5331582403151675,682560,85320,4345.454809599774
2,1,2587068805,-3776643.6681605186,"[16.0, 0.19293478249140136, 0.4350917262616757, 32.0, 0.0, 0.0]",1780.6624501999977,0,47,-1171591.847243564,3776643.6681641433,2432923.740728939,12285593.510949759,1958651.809458589,464855.8094004271,1964820.2557403017,468103.4849884452,10941873.583514554,0.0,0.0,0.0,0.0,True,399.29708101414144,0.00034329948129565983,0.0005705115534788696,0.026818984473677154,0.06597018580364732,0.002399266625805918,0.006180262591675145,24470.706561267587,0.6428571428571429,513600,64200,3303.187762399364
2,2,2848154552,-3776626.816673087,"[32.0, 0.0, 0.0, 16.0, 0.1928702800127173, 0.4351081002504097]",1542.1310378999988,0,41,-6.352009407351034e-06,3776626.8167059887,2432830.174841028,12285865.82185524,1958640.0116730912,464774.8848483309,1964807.5439727546,468022.6308683593,10942069.179990279,0.0,0.0,0.0,0.0,True,456.34221341460943,0.00032080980100625397,0.0005704118561444954,0.02681728183703779,0.06596277168965455,0.0023991195053514325,0.006180522155026402,24468.740581798782,0.7956698240866035,289920,36240,1818.8914069993189
2,3,3087798466,-3957216.1425012965,"[12.0, 0.0, 0.0, 32.0, 0.21105354337864515, 0.4408056492363357]",1532.6452635999958,0,46,-7.027755088984122e-06,3957216.142487457,2680743.068089283,12408991.983119821,1962888.561490409,705722.4877123911,1969187.1668299816,711555.9012591074,11132518.908721646,0.0,0.0,0.0,0.0,True,216.4879078604281,0.0001128217539182217,0.0001599073350543323,0.11763965874377466,0.11660399050741668,0.010744922842549354,0.011290594383035035,111821.42571281767,0.6540962288686606,510720,63840,3186.4580501997625
2,4,2396126936,-3776717.114409188,"[1.0, 0.0, 0.0, 16.0, 0.19271577306981494, 0.43506810340104196]",1615.2721396000052,0,34,-1698805.3430083753,3776721.6188121364,2432280.6144789937,12285092.310060766,1958294.324964059,464574.00832405046,1964459.1370413695,467821.4774375563,10940651.305727623,0.0,0.0,0.0,0.0,True,206.45746966078877,0.0006975613537071108,0.0005701173132653878,0.026813148077463534,0.06594037390326664,0.0023982034929659335,0.0061807462948104686,24458.371936959815,0.7859897172236504,319680,39960,2041.7145370012804
2,5,522242138,-3957408.0023437906,"[32.0, 0.0, 0.0, 32.0, 0.20982136613575356, 0.440726367169921]",1141.8724445000043,0,24,-637259.1835014602,3957397.9327712674,2677876.641745554,12406440.409080155,1961371.6483070385,704401.0824909558,1967656.8482100542,710219.7935355406,11126919.118054442,0.0,0.0,0.0,0.0,True,111.26702431030571,0.0002768976500040247,0.00015762489408133185,0.1172524735765035,0.11570960041381256,0.010707746255859352,0.011213030792313283,111442.32071016484,0.8773523685918235,181440,22680,1162.1270863001992
2,6,666835166,-3957412.27435071,"[32.0, 0.2099057705699375, 0.44072882758220416, 27.0, 0.0, 0.0]",1233.6006067999988,0,31,-2718259.6761870845,3957412.274285268,2678062.281660758,12406581.964047816,1961463.4855040354,704492.8197664545,1967749.6658086323,710312.61585196,11127231.971423306,0.0,0.0,0.0,0.0,True,125.4901552926749,0.0001755570195527881,0.00015778299005336782,0.11728231458908318,0.1157709107302505,0.010710435100468985,0.011217457419426147,111469.623187164,0.8315858453473133,246720,30840,1570.8834854997258
2,7,2144715371,-3776523.9676020835,"[16.0, 0.19291363120062166, 0.4351627736467179, 4.0, 0.0, 0.0]",1621.0989678999977,0,40,-2518276.886160102,3776523.9675754383,2433166.3533657272,12286859.303542092,1958911.1112015443,464838.57347124664,1965079.683304794,468086.67006094055,10943501.68933238,0.0,0.0,0.0,0.0,True,457.2553921956569,0.0003203199873956075,0.0005705249570205628,0.02681849546264496,0.0659680961626019,0.0023993280315806054,0.006180499924210103,24471.03063567107,0.788623141564318,313920,39240,2010.0907862992171
2,8,3094217516,-3776678.204881463,"[23.0, 0.0, 0.0, 16.0, 0.19237289436701105, 0.4350838869799817]",1426.6492068000007,0,30,-916168.5423127979,3776678.205179453,2431406.451431366,12285266.000943188,1957606.1901713423,464393.2691486729,1963765.6938940533,467640.7575372039,10939994.2471951,0.0,0.0,0.0,0.0,True,213.63453524746,0.0006738401393954199,0.0005695363196395603,0.02682662796081641,0.06588643037445165,0.002397997168282373,0.006176580402672549,24449.82993858877,0.8578042328042328,206400,25800,1334.8689800003413
2,9,3447043798,-3776366.901800249,"[1.0, 0.0, 0.0, 16.0, 0.19393010246793507, 0.43498101918850474]",1510.3223794000005,0,33,-303532.43963923515,3776366.9017884154,2434920.308719667,12283682.309593907,1959374.7688789,466113.8655803803,1965558.20071328,469362.1080064365,10942235.716525158,0.0,0.0,0.0,0.0,True,224.7052467390895,0.0006312642666029911,0.000572143912734864,0.026846625489303163,0.06598668037921712,0.0024020021001125436,0.006178586231636807,24502.040868967084,0.8544137022397892,212160,26520,1340.836844700083
