n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer,j_net,b_energy,b_defer,b_arb,b_loss_avg,b_arb_total,b_loss_total,cost,capex_power_annual,capex_energy_annual,opex,v_violation,i_violation,penalty_v,penalty_line,decomposition_ok,recompute_jnet_delta,recompute_convergence_ratio,recompute_max_p_shift,cross_effect_pct_avg_max,cross_effect_pct_peak_max,cross_effect_mw_avg_total,cross_effect_mw_peak_total,coef_cache_hit_rate,coef_runpp_total,coef_unique_bs_count,coef_measure_wall_s,peak_day_selected,peak_reduction_mw
2,0,1587909317,-3962475.545964854,"[31.0, 0.21081068935395653, 0.4407802206802874, 24.0, 0.0, 0.0]",4290.954713499988,0,59,-2807259.553774222,3962475.5440063663,2685507.5622460116,12408149.783597268,1961994.508867745,711340.4222343513,1968290.4369983892,717217.1252477689,11131181.801836913,592196.6879648844,7438804.296069703,3100180.8178023244,0.0,0.0,0.0,0.0,True,96.18553447909653,9.356718420814583e-05,0.000532586901972068,0.1191278498131713,0.11643424747615606,0.010899986592385336,0.011266182150311721,0.5659395141298958,1680960,210120,11189.11046919704,summer_peak,0.16308873538879354
2,1,2587068805,-3962475.496675346,"[2.0, 0.0, 0.0, 31.0, 0.21075007245791688, 0.44078258883701293]",3100.7525621000095,0,72,-2352022.114961224,3962475.496490808,2685396.345523898,12408134.739113959,1961940.253924541,711284.7648626918,1968235.5872041602,717160.7583197483,11131055.588147048,592026.4066324747,7438844.262142583,3100184.91937199,0.0,0.0,0.0,0.0,True,96.41924057155848,9.441566082093014e-05,0.0005673192918622666,0.11910652125527979,0.11639217760520812,0.010898210543587528,0.01126229645813126,0.7255789193505456,989760,123720,6258.860577390296,summer_peak,0.16308853764893705
2,2,2848154552,-3962475.5991498455,"[30.0, 0.0, 0.0, 31.0, 0.21083306463819929, 0.44077949215344386]",3095.4911918000435,0,64,-898606.9096686137,3962475.587927783,2685549.239357895,12408158.206820978,1962015.1198343858,711361.032912452,1968311.267325918,717237.972032088,11131231.85825109,592259.5432653506,7438792.001124605,3100180.313861132,0.0,0.0,0.0,0.0,True,96.91022814065218,2.1831376013667026e-05,0.0005370423163407606,0.11913572270943681,0.11645176810503603,0.010900642002350303,0.011267914643996235,0.7378516624040921,984000,123000,6150.696923893876,summer_peak,0.16308884610094054
2,3,3087798466,-3962475.5563931987,"[31.0, 0.21077339559476987, 0.44078176909893607, 1.0, 0.0, 0.0]",3091.8151757000014,0,80,-10098233.814461235,3962475.5819109026,2685439.536913843,12408142.372944674,1961961.4959218344,711306.258414486,1968257.0494599817,717182.4874538875,11131106.327947615,592091.9245833891,7438830.427875886,3100183.975488341,0.0,0.0,0.0,0.0,True,96.49903500638902,9.524131883489225e-05,0.0004685937555792439,0.11911472684819538,0.11641891110249492,0.010898893682318889,0.011264642216977094,0.762962962962963,860160,107520,5876.139095504943,summer_peak,0.16308863798555606
2,4,2396126936,-3962475.5437998064,"[31.0, 0.21085811030401946, 0.44077852660002836, 10.0, 0.0, 0.0]",3535.5835212999955,0,81,-3269824.8821296925,3962475.542627206,2685595.16286861,12408164.694608372,1962037.5886923557,711383.9786098915,1968333.9769198918,717261.1859486016,11131284.314849775,592329.9000408635,7438775.706012987,3100178.708795924,0.0,0.0,0.0,0.0,True,97.55906640179455,0.000213309391546812,0.0005661394438236447,0.11914453646738582,0.11647038016071194,0.010901375980826078,0.011269807787498642,0.7822222222222223,799680,99960,5576.652429894661,summer_peak,0.16308893137433422
2,5,522242138,-3962475.5801349096,"[24.0, 1.1675680928070797e-09, 2.661348730213296e-10, 31.0, 0.21079188954690511, 0.44078098000243515]",2873.1583402999677,0,57,-3476177.8299206477,3962475.5772835426,2685473.2087174105,12408145.628123526,1961977.781857544,711323.1920244945,1968273.5275365997,717199.6811806725,11131143.259557392,592143.8799593968,7438817.11522155,3100182.2643764443,0.0,0.0,0.0,0.0,True,94.63977046310902,0.00011234442355443567,0.0004009640323726152,0.11912123449215194,0.1164193725743147,0.01089943567710705,0.011264833318704426,0.8469496021220159,553920,69240,3858.838162695407,summer_peak,0.16308868077058136
2,6,666835166,-3962475.569171421,"[32.0, 0.0, 0.0, 31.0, 0.2107732520524267, 0.4407817374954591]",3009.6895504999557,0,62,-5308840.903455637,3962475.5691625997,2685439.136075344,12408141.57605901,1961961.2182202423,711306.1010461915,1968256.7769974063,717182.3590780124,11131105.142971754,592091.5213528865,7438829.894521463,3100183.727097405,0.0,0.0,0.0,0.0,True,94.61612222902477,4.709563112002363e-06,0.00037343379166511665,0.11911467654644586,0.11641881329546037,0.010898889546302915,0.011264362582749321,0.8290664597879494,634560,79320,4464.489215993439,summer_peak,0.16308862751154685
2,7,2144715371,-3962475.5189179555,"[31.0, 0.0, 1.5977494496743032e-10, 31.0, 0.21076142684190374, 0.4407821417695655]",3120.9154212999856,0,58,-6284266.15669146,3962475.518921159,2685417.0425219797,12408137.627080984,1961950.402668802,711295.1981124055,1968245.8117844304,717171.2307377433,11131079.150681805,592058.3026839108,7438836.719928668,3100184.1280692257,0.0,0.0,0.0,0.0,True,96.2150315977633,0.00010789552637908748,0.0004621169088188194,0.11911051617514704,0.11640573754343429,0.010898543197849886,0.01126422484081857,0.8149106911726637,686400,85800,4820.900475294737,summer_peak,0.16308857560744805
2,8,3094217516,-3978496.612474639,"[31.0, 0.1553160775272157, 0.316551710091188, 17.0, 0.05597042928134918, 0.12233669841971957]",4212.80688410002,0,67,-2415818.7670652107,3978496.612269031,2673613.8720859983,12392448.94975111,1956117.2863355535,705593.7046469364,1962427.2952350283,711186.576850856,11087566.209568078,593533.3256921197,7406877.227129948,3087155.65674601,0.0,0.0,0.0,0.0,True,44.913091246038675,0.09229380880399443,0.00027943908691115127,0.13545175043438407,0.15003467021914715,0.01260479699807071,0.014552279090646714,0.8093245666467423,918720,114840,6119.478415501944,summer_peak,0.16288236867166184
2,9,3447043798,-3962475.5786301587,"[2.0, 0.0, 0.0, 31.0, 0.21077423866552664, 0.440781696471445]",2601.7682425999665,0,75,-3083808.4609805406,3962475.5820502844,2685440.9422170967,12408141.778043853,1961962.0913513324,711307.005480047,1968257.6615303096,717183.2806867087,11131107.138210665,592094.2928869671,7438829.202181838,3100183.643141861,0.0,0.0,0.0,0.0,True,92.58442933298647,0.0001052959179388782,0.0001523501053664958,0.11911502369581695,0.11641983980159479,0.010898918456743178,0.011264388539670378,0.8832674571805007,425280,53160,2739.387674300815,summer_peak,0.16308863016637076
