scenario,t,unit,b,p_ch,p_dis,p_net,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess
summer,0,0,29,0.0,0.14295767894686198,0.14295767894686198,0.16743682275778823,0.499999999999977,6.296033901525001,130.62,6.454850201237773,6.271221945556983
summer,1,0,29,5.428743739989302e-08,0.0,-5.428743739989302e-08,0.016744171951101484,0.05000146226891381,5.770585022235,122.52,5.903238220445504,5.877687507744872
summer,2,0,29,4.506405467277105e-07,0.0,-4.506405467277105e-07,0.016743753319552784,0.05000021215098334,5.5452711824100005,111.95,5.667469805483167,5.645655767316407
summer,3,0,29,4.767524843563648e-07,0.0,-4.767524843563648e-07,0.016743711450334056,0.0500000871210824,5.4075321558,107.47,5.523563348214676,5.503971460603898
summer,4,0,29,2.2140184550719994e-05,0.0,-2.2140184550719994e-05,0.01674369334447497,0.05000003305334871,5.325058788015,104.36,5.437477964753977,5.419117182119854
summer,5,0,29,0.3176621925403302,0.0,-0.3176621925403302,0.016764226890078344,0.050061350346836404,5.319107101680001,104.35,5.431267945088634,5.743099855731165
summer,6,0,29,9.426853042704532e-06,0.0,-9.426853042704532e-06,0.31812987749771604,0.9499997439568704,5.405831673990001,107.59,5.5217877815201994,5.502175262228071
summer,7,0,29,9.368058352601226e-06,0.0,-9.368058352601226e-06,0.31812993390660804,0.9499999124051576,5.6838604499250005,114.98,5.812435697664656,5.788333459997862
summer,8,0,29,9.18816392576514e-06,0.0,-9.18816392576514e-06,0.31812993544829243,0.9499999170089369,6.124285238715001,127.23,6.27427359199157,6.242568632658064
summer,9,0,29,1.3296784344343593e-07,0.0,-1.3296784344343593e-07,0.3181297673812971,0.949999415127115,6.693946645065001,134.5,6.874257550547764,6.83213785881314
summer,10,0,29,2.588665425579834e-08,0.0,-2.588665425579834e-08,0.31812100824278505,0.9499732585793265,7.012786984440001,138.16,7.211382195808816,7.1631926437955915
summer,11,0,29,0.0,1.6445125960917833e-08,1.6445125960917833e-08,0.31811214588508846,0.9499467937983105,7.113115411230001,140.85,7.31766119806391,7.267585512655214
summer,12,0,29,0.0,3.020097824651365e-08,3.020097824651365e-08,0.31810324100141,0.9499202020261669,7.071453606885001,140.59,7.2735168856649794,7.224204910671034
summer,13,0,29,2.0096050055799188e-08,0.0,-2.0096050055799188e-08,0.31809432186731335,0.9498935676994108,6.907357112220001,137.7,7.099801106839974,7.053379292819093
summer,14,0,29,0.0,7.656044554977262e-08,7.656044554977262e-08,0.3180854532974666,0.9498670843676662,7.17433275639,142.31,7.382556015343651,7.33133018418162
summer,15,0,29,0.0,8.266698391767548e-07,8.266698391767548e-07,0.3180764863925941,0.9498403073877737,7.311221542095001,145.06,7.527796305012301,7.474242799220932
summer,16,0,29,0.0,0.14286299158479487,0.14286299158479487,0.3180667297562699,0.9498111721110659,7.386042741735001,145.39,7.607257465347377,7.402040882223855
summer,17,0,29,0.0,1.4080412974405504e-07,1.4080412974405504e-07,0.1674696804339531,0.5000981196239155,7.517830082010001,143.23,7.747347186917143,7.689995036674194
summer,18,0,29,0.0,6.192694636622122e-08,6.192694636622122e-08,0.1674648522421717,0.5000837016730075,7.505076468435001,141.5,7.733782867868868,7.676814333789226
summer,19,0,29,0.0,3.539964112289365e-08,3.539964112289365e-08,0.16746010679140388,0.5000695308033933,7.461714182280001,140.33,7.687675812933342,7.631861566862589
summer,20,0,29,0.0,3.031251695920748e-08,3.031251695920748e-08,0.1674553890400258,0.5000554426497232,7.408149005265,140.02,7.630744821572479,7.575803182798292
summer,21,0,29,9.183145727919383e-09,0.0,-9.183145727919383e-09,0.16745067666705732,0.5000413705570651,7.2083423925900005,137.43,7.418623991613883,7.366762503067131
summer,22,0,29,5.28769105186354e-08,0.0,-5.28769105186354e-08,0.16744600436831322,0.500027418134094,6.8750479578300006,135.17,7.06562775451025,7.0199751963215204
summer,23,0,29,1.3391095251616025e-07,0.0,-1.3391095251616025e-07,0.1674413747909826,0.5000135932858486,6.574062677460001,133.37,6.747743671500527,6.707684695140443
winter,0,0,29,0.0,0.14295756420882405,0.14295756420882405,0.16743682275778407,0.4999999999999646,6.578313881985001,151.61,6.752227695413273,6.564963978575829
winter,1,0,29,2.713650944298106e-09,0.0,-2.713650944298106e-09,0.016744292464505442,0.05000182214615578,6.136188611385,143.16,6.286780113855868,6.256455588221821
winter,2,0,29,5.226005623424421e-07,0.0,-5.226005623424421e-07,0.01674382147441769,0.05000041567510601,5.918526939705001,132.98,6.058293064256344,6.031581583090922
winter,3,0,29,1.084888687355756e-06,0.0,-1.084888687355756e-06,0.016743848020746386,0.050000494947778105,5.79354152667,129.41,5.927285512001881,5.9026550181816315
winter,4,0,29,0.3176829396981432,0.0,-0.3176829396981432,0.016744405832568008,0.05000216068597247,5.742527072370001,128.4,5.873853532494229,6.181286345019546
winter,5,0,29,9.469076675111324e-06,0.0,-9.469076675111324e-06,0.3181297393591242,0.9499993314472756,5.789290322145,130.18,5.922831951817588,5.898254521232691
winter,6,0,29,9.452491580937035e-06,0.0,-9.452491580937035e-06,0.3181298351369582,0.9499996174591349,5.954237057715001,132.99,6.095749734397934,6.068436898183244
winter,7,0,29,9.39170147307899e-06,0.0,-9.39170147307899e-06,0.3181299156294926,0.949999857826018,6.30368606967,140.92,6.462901974461078,6.429649249855433
winter,8,0,29,9.271758262858096e-06,0.0,-9.271758262858096e-06,0.31812993913003057,0.9499999280033469,6.84954073068,155.88,7.038655688328098,6.995677211102479
winter,9,0,29,0.0,3.2474647899532878e-09,3.2474647899532878e-09,0.31812984834735286,0.949999656908028,7.490622373050001,171.35,7.718411850437494,7.664557636955877
