scenario,t,unit,b,p_ch,p_dis,p_net,q_mvar,s_apparent,s_rated,s_utilization,poly_margin,poly_binding,loss_pcs_mw,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess,p_slack_ess_qzero,v_lindistflow,mu_penalty_active
summer,0,0,16,0.0,0.1479683941722026,0.1479683941722026,0.04094836947027116,0.15352984933287128,0.15352984933287142,0.9999999999999991,-4.624032019351354e-05,True,0.00013903637901671747,0.21894158966704583,0.49999999999999994,7.034750000000001,130.62,7.185512271970117,7.026916614839139,7.027640377360779,0.9836680332048368,False
summer,1,0,16,0.0,0.038962454686958435,0.038962454686958435,0.14846583992947301,0.1534932522985854,0.15352984933287142,0.9997616291916847,-9.643285907634525e-06,True,0.0028632699402906764,0.06296583905857826,0.143795975799603,6.447649999999999,122.52,6.573632573047587,6.532724186462901,6.532217164573358,0.9866585345451636,False
summer,2,0,16,2.8810176715883473e-16,0.0,-2.8810176715883473e-16,0.15348360901267716,0.15348360901267716,0.15352984933287142,0.9996988186962001,6.106226635438361e-16,True,0.0038370902253169253,0.021894770392027404,0.05000139632064367,6.1959,111.95,6.311975827253596,6.31356981034131,6.311975827267497,0.987413595066868,False
summer,3,0,16,0.06979353582072945,0.0,-0.06979353582072945,0.13672781103008647,0.15351101573319903,0.15352984933287142,0.9998773293938982,-2.7406720521261363e-05,True,0.0020929369978117413,0.021894158966705084,0.05000000000000114,6.042,107.47,6.152230182343842,6.226309581683243,6.226281031037207,0.9866294304756305,False
summer,4,0,16,0.14035848605180365,0.0,-0.14035848605180365,0.06221663788264138,0.15352984933287106,0.15352984933287142,0.9999999999999977,-4.6240320193291495e-05,True,0.0003292840820266856,0.08810667499158292,0.20121045783391506,5.94985,104.36,6.056656131750002,6.204926321283131,6.205659397888934,0.9845151302818131,False
summer,5,0,16,0.14035848605180415,0.0,-0.14035848605180415,0.06221663788264013,0.153529849332871,0.15352984933287142,0.9999999999999973,-4.6240320193235984e-05,True,0.0003292840820266717,0.22126231027425827,0.5052998624216204,5.9432,104.35,6.04976122818321,6.198022707169143,6.19875436756059,0.9845535198436377,False
summer,6,0,16,0.06491482081531837,0.0,-0.06491482081531837,0.13908234056573598,0.1534856065523027,0.15352984933287142,0.9997118294536146,-1.9975396249316546e-06,True,0.0022142696434246105,0.3544142271015312,0.8093807751202149,6.040100000000001,107.59,6.150259008515443,6.219252947106286,6.219125082947255,0.9867767684470463,False
summer,7,0,16,1.224492117154122e-05,0.0,-1.224492117154122e-05,0.15348360901267716,0.15348360950112702,0.15352984933287142,0.9996988218776653,-4.884492532664098e-10,True,0.00383678411449889,0.41598902036738716,0.9500000000000001,6.35075,114.98,6.4728686591927795,6.47439987999564,6.472881672889345,0.9865216261954386,False
summer,8,0,16,1.2244921171237788e-05,0.0,-1.2244921171237788e-05,0.15348360901267716,0.15348360950112702,0.15352984933287142,0.9996988218776653,-4.884492532664098e-10,True,0.003836784114498898,0.41598902036738716,0.9500000000000001,6.84285,127.23,6.985253043091473,6.986541525098496,6.98526612295482,0.9836824357651709,False
summer,9,0,16,0.0,6.510746617665357e-17,6.510746617665357e-17,0.15348360901267716,0.15348360901267716,0.15352984933287142,0.9996988186962001,6.106226635438361e-16,True,0.003837090225316931,0.415989020367387,0.9499999999999997,7.47935,134.5,7.650457756139371,7.651412434703369,7.650457756139665,0.9799981698786208,False
summer,10,0,16,0.0,1.0771099471495619e-16,1.0771099471495619e-16,0.15348360901267724,0.15348360901267724,0.15352984933287142,0.9996988186962007,5.273559366969494e-16,True,0.003837090225316932,0.4159774036106713,0.9499734706486477,7.8355999999999995,138.16,8.024006123412613,8.024777563950957,8.024006123412613,0.9779298842637479,False
summer,11,0,16,0.0,1.9891914085423471e-16,1.9891914085423471e-16,0.15348360901267727,0.15348360901267727,0.15352984933287142,0.9996988186962009,4.996003610813204e-16,True,0.00383709022531693,0.41596578717836075,0.9499469420381442,7.9477,140.85,8.141734210688744,8.142447454803873,8.141734210688739,0.9772781583266568,False
summer,12,0,16,0.0,1.9920011850863222e-16,1.9920011850863222e-16,0.15348360901267727,0.15348360901267727,0.15352984933287142,0.9996988186962009,4.996003610813204e-16,True,0.00383709022531693,0.41595417107044635,0.949920414168469,7.90115,140.59,8.092836335878602,8.093573777799403,8.092836335878529,0.9775488430360444,False
summer,13,0,16,0.0,1.0942477558873045e-16,1.0942477558873045e-16,0.15348360901267719,0.15348360901267719,0.15352984933287142,0.9996988186962004,5.828670879282072e-16,True,0.00383709022531693,0.41594255528691915,0.9498938870396012,7.7178,137.7,7.900387440847766,7.901219758400752,7.900387440847756,0.9786142811142406,False
summer,14,0,16,0.0,5.465314339335946e-16,5.465314339335946e-16,0.1534836090126773,0.1534836090126773,0.15352984933287142,0.9996988186962011,4.718447854656915e-16,True,0.003837090225316922,0.4159309398277701,0.9498673606515204,8.0161,142.31,8.213611994824772,8.21428960154346,8.213611994824738,0.9768802814531109,False
summer,15,0,16,0.0,0.07567458518953228,0.07567458518953228,0.1335843246513838,0.15352984933287106,0.15352984933287142,0.9999999999999977,-4.6240320193291495e-05,True,0.0019463816035834712,0.41591932469298976,0.9498408350042051,8.16905,145.06,8.374458917452944,8.291587283292374,8.292624105316312,0.9771835925015193,False
summer,16,0,16,0.0,0.08840374487304008,0.08840374487304008,0.12552367317998794,0.15352984933287073,0.15352984933287142,0.9999999999999954,-4.624032019295843e-05,True,0.0016281526114957678,0.33614109747661197,0.767650170960658,8.252650000000001,145.39,8.462445671960106,8.365538098570953,8.366786940671737,0.9768191241725624,False
summer,17,0,16,0.0,0.022733280378486407,0.022733280378486407,0.15179085075742574,0.1534837594354203,0.15352984933287142,0.9996997984584015,-1.504227425397353e-07,True,0.0032687619764233504,0.24294762190448183,0.5548229148101624,8.3999,143.23,8.617543845835959,8.59276705589808,8.592870479543922,0.9750757579840796,False
summer,18,0,16,0.0,4.405104818572694e-16,4.405104818572694e-16,0.15348360901267738,0.15348360901267738,0.15352984933287142,0.9996988186962016,3.885780586188048e-16,True,0.0038370902253169266,0.2189782777477388,0.5000837850879514,8.38565,141.5,8.602527556482379,8.603010930090168,8.60252755648218,0.9747278320111766,False
summer,19,0,16,0.0,2.3260918470590205e-16,2.3260918470590205e-16,0.15348360901267738,0.15348360901267738,0.15352984933287142,0.9996988186962016,3.885780586188048e-16,True,0.0038370902253169322,0.21897216264071798,0.5000698199316964,8.337200000000001,140.33,8.551483062848575,8.551992065360723,8.551483062848453,0.9750103004069232,False
summer,20,0,16,0.0,2.0362225252236007e-16,2.0362225252236007e-16,0.15348360901267735,0.15348360901267735,0.15352984933287142,0.9996988186962015,4.163336342344337e-16,True,0.0038370902253169322,0.21896604770446593,0.5000558551654285,8.27735,140.02,8.488451308767335,8.48899190188182,8.488451308767292,0.9753591190139801,False
summer,21,0,16,0.0,1.1428006619254563e-16,1.1428006619254563e-16,0.15348360901267724,0.15348360901267724,0.15352984933287142,0.9996988186962007,5.273559366969494e-16,True,0.003837090225316932,0.21895993293897723,0.5000418907891353,8.0541,137.43,8.253558437481066,8.254216203642994,8.253558437481102,0.976659168706999,False
summer,22,0,16,0.0,8.576708903168826e-17,8.576708903168826e-17,0.15348360901267716,0.15348360901267716,0.15352984933287142,0.9996988186962001,6.106226635438361e-16,True,0.00383709022531693,0.21895381834424782,0.5000279268028075,7.6817,135.17,7.862523853537317,7.863374770101812,7.862523853537313,0.9788239198393047,False
summer,23,0,16,0.0,7.346050406063005e-17,7.346050406063005e-17,0.1534836090126771,0.1534836090126771,0.15352984933287142,0.9996988186961998,6.661338147750939e-16,True,0.0038370902253169288,0.21894770392027216,0.5000139632064323,7.3454,133.37,7.5102334521833525,7.511256363695644,7.5102334521833685,0.9807747169614831,False
winter,0,0,16,0.0,0.13358432465140874,0.13358432465140874,0.07567458518948846,0.15352984933287114,0.15352984933287142,0.9999999999999982,-4.624032019337476e-05,True,0.0004986381170365606,0.21894158966704588,0.5000000000000001,7.35015,151.61,7.515203801605535,7.371058319883412,7.372166783160348,0.9821332044645944,False
winter,1,0,16,0.0,6.29462699243277e-17,6.29462699243277e-17,0.15348360901267727,0.15348360901267727,0.15352984933287142,0.9996988186962009,4.996003610813204e-16,True,0.0038370902253169335,0.07812771269702447,0.17842136072876041,6.85615,143.16,6.999124229734558,7.000393332360938,6.999124229989848,0.983605832391124,False
winter,2,0,16,8.195740468462794e-16,0.0,-8.195740468462794e-16,0.15348360901267705,0.15348360901267705,0.15352984933287142,0.9996988186961995,7.216449660063518e-16,True,0.003837090225316909,0.07812553093119233,0.17841637819932082,6.6129500000000005,132.98,6.745671121904709,6.74706086251201,6.745671121904675,0.9850101163630746,False
winter,3,0,16,0.11840083199962567,0.0,-0.11840083199962567,0.09766580091055767,0.15348408935685898,0.15352984933287142,0.9997019473658622,-4.803441812084586e-07,True,0.0008770814339308334,0.07812334922628834,0.1784113958090237,6.4733,129.41,6.600316034072806,6.72576290708188,6.726627906401249,0.982518911302173,False
winter,4,0,16,0.13274191498807705,0.0,-0.13274191498807705,0.07708006080256662,0.1534983770859785,0.15352984933287142,0.9997950089378079,-1.4768073300724938e-05,True,0.0005189115524475364,0.19044803690035395,0.4349288711888333,6.4163,128.4,6.541025518881866,6.6817086170899875,6.682596908866213,0.9822187206012902,False
winter,5,0,16,0.10500988939730395,0.0,-0.10500988939730395,0.1119686233024867,0.1535058613717671,0.15352984933287142,0.9998437570204847,-2.2252359089341978e-05,True,0.00121239929936158,0.3163749732675584,0.7225099939867154,6.46855,130.18,6.595374315518021,6.706630122635455,6.707362845297802,0.983052584859133,False
