scenario,t,unit,b,p_ch,p_dis,p_net,q_mvar,s_apparent,s_rated,s_utilization,poly_margin,poly_binding,loss_pcs_mw,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess,p_slack_ess_qzero,v_lindistflow,mu_penalty_active
summer,0,0,18,0.0,0.2809971824166324,0.2809971824166324,0.00689809364478429,0.28108183901137834,0.2810818390113818,0.9999999999999878,-8.465659474332643e-05,True,2.1164148686483884e-06,0.976165105119884,0.5,7.034750000000001,130.62,7.185512271970117,6.903733164504779,6.903737518113153,1.0184642451255523,False
summer,1,0,18,0.0,3.934229641588692e-15,3.934229641588692e-15,0.2809971824163717,0.2809971824163717,0.2810818390113818,0.9996988186952676,2.6328939028985587e-13,True,0.007024929560409201,0.6799460221583081,0.3482740873403804,6.447649999999999,122.52,6.573632573047587,6.5804722437530225,6.5736325730731,1.0185736194202475,False
summer,2,0,18,0.11448327907160784,0.0,-0.11448327907160784,0.2566947143086401,0.2810668915774001,0.2810818390113818,0.9999468217724978,-6.970916076509681e-05,True,0.004164590312644811,0.6799270342352275,0.3482643615660308,6.1959,111.95,6.311975827253596,6.4307518230734635,6.426756269775394,1.018569362186177,False
summer,3,0,18,0.2809971824166309,0.0,-0.2809971824166309,0.006898093644773741,0.28108183901137657,0.2810818390113818,0.9999999999999815,-8.465659474155007e-05,True,2.1164148686414495e-06,0.788518333697637,0.4038857410298426,6.042,107.47,6.152230182343842,6.433957122522784,6.433960504393043,1.0184309437841814,False
summer,4,0,18,0.28099718241663374,0.0,-0.28099718241663374,0.006898093644718729,0.28108183901137807,0.2810818390113818,0.9999999999999868,-8.465659474304887e-05,True,2.1164148686081425e-06,1.055078340782694,0.5404200248753609,5.94985,104.36,6.056656131750002,6.338372171705907,6.33837546417723,1.0184528767857883,False
summer,5,0,18,0.28099718241663374,0.0,-0.28099718241663374,0.006898093644718094,0.28108183901137807,0.2810818390113818,0.9999999999999868,-8.465659474304887e-05,True,2.1164148686081425e-06,1.321630904010823,0.6769504959145779,5.9432,104.35,6.04976122818321,6.3314764819858995,6.331479768012234,1.0184544595614455,False
summer,6,0,18,0.2809971824166306,0.0,-0.2809971824166306,0.006898093644778072,0.28108183901137634,0.2810818390113818,0.9999999999999807,-8.465659474132803e-05,True,2.116414868644225e-06,1.5881760235898958,0.8134771542539672,6.040100000000001,107.59,6.150259008515443,6.43198572382265,6.431989103847964,1.0184313960157878,False
summer,7,0,18,5.459476557765708e-05,0.0,-5.459476557765708e-05,0.28099718241639376,0.28099718771998505,0.2810818390113818,0.9996988375638409,-5.303350036900412e-09,True,0.0070235648238601905,1.8547136997277778,0.9499999999999991,6.35075,114.98,6.4728686591927795,6.479765270128849,6.472923396316855,1.0185966535603546,False
summer,8,0,18,5.459476556616593e-05,0.0,-5.459476556616593e-05,0.2809971824163612,0.2809971877199524,0.2810818390113818,0.9996988375637248,-5.303317396343488e-09,True,0.007023564823859662,1.8547136997277809,0.9500000000000007,6.84285,127.23,6.985253043091473,6.992131450642821,6.985307791695713,1.0184795378703453,False
summer,9,0,18,-0.0,0.0,0.0,0.2809971824163138,0.2809971824163138,0.2810818390113818,0.9996988186950613,3.2124303217528904e-13,True,0.00702492956040785,1.8547136997277733,0.9499999999999968,7.47935,134.5,7.650457756139371,7.657258927575283,7.650457756139486,1.018328062400885,False
summer,10,0,18,0.0,8.14978292394758e-16,8.14978292394758e-16,0.28099718241632005,0.28099718241632005,0.2810818390113818,0.9996988186950836,3.149702720861569e-13,True,0.007024929560407987,1.8546619056736724,0.9499734706486457,7.8355999999999995,138.16,8.024006123412613,8.030793793831691,8.024006123412526,1.0182432568579252,False
summer,11,0,18,0.0,5.838025905306172e-15,5.838025905306172e-15,0.28099718241633226,0.28099718241633226,0.2810818390113818,0.9996988186951271,3.027578188152802e-13,True,0.007024929560408167,1.854610113065951,0.9499469420381422,7.9477,140.85,8.141734210688744,8.148517610341312,8.141734210688716,1.0182165699194257,False
summer,12,0,18,0.0,4.196203869490325e-15,4.196203869490325e-15,0.2809971824163289,0.2809971824163289,0.2810818390113818,0.999698818695115,3.061439990403869e-13,True,0.007024929560408123,1.854558321904565,0.9499204141684641,7.90115,140.59,8.092836335878602,8.099621510297215,8.092836335878571,1.0182276518686366,False
summer,13,0,18,0.0,4.007976118382628e-16,4.007976118382628e-16,0.2809971824163156,0.2809971824163156,0.2810818390113818,0.9996988186950678,3.1941116418465754e-13,True,0.007024929560407887,1.8545065321894822,0.9498938870395947,7.7178,137.7,7.900387440847766,7.907179587573546,7.900387440847718,1.0182713000057366,False
summer,14,0,18,0.0,3.977452051005791e-14,3.977452051005791e-14,0.2809971824163425,0.2809971824163425,0.2810818390113818,0.9996988186951634,2.9254376698872875e-13,True,0.007024929560407573,1.8544547439206642,0.9498673606515142,8.0161,142.31,8.213611994824772,8.220392783267695,8.213611994824767,1.0182002860201285,False
summer,15,0,18,0.0,0.28032023559174624,0.28032023559174624,0.020677662822502777,0.28108183901136913,0.2810818390113818,0.9999999999999549,-8.465659473411158e-05,True,1.9040085490572308e-05,1.8544029570980245,0.9498408350041785,8.16905,145.06,8.374458917452944,8.093221692674097,8.093225280088102,1.0181991626911664,False
summer,16,0,18,0.0,0.2803202355917563,0.2803202355917563,0.020677662822331685,0.2810818390113665,0.2810818390113818,0.9999999999999457,-8.465659473150255e-05,True,1.9040085490255893e-05,1.5588729008332896,0.7984678476300597,8.252650000000001,145.39,8.462445671960106,8.181197969617465,8.18120181135583,1.0181792597719515,False
