b,S,E,e_over_s,skipped,skip_reason,j_net,b_energy,b_defer,b_arb,b_loss,cost,v_violation,i_violation,fitness,decomposition_ok
32,0.176,0.419,2.38,False,,3051803.40038036,2117684.0482929293,11438934.276827654,1929558.5580644486,188125.4902287388,10504814.924740223,0.0,0.0,-3051803.40038036,True
32,0.176,0.528,3.0,False,,2614203.0410150066,2490598.058987044,13226851.073541563,2265538.5867049675,225059.47228221322,13103246.0915136,0.0,0.0,-2614203.0410150066,True
32,0.176,0.671,3.81,False,,814199.220111141,2914900.8367987266,14397269.063675104,2652196.642363018,262704.19443591416,16497970.680362688,0.0,0.0,-814199.220111141,True
32,0.176,0.744,4.23,False,,-748763.5130259208,3112165.6056149425,14397269.126310242,2833385.124253095,278780.4813622032,18258198.244951107,0.0,0.0,748763.5130259208,True
32,0.5,1.19,2.38,False,,-2085626.2060654424,5656489.13839907,22101108.873547483,5481700.453186281,174788.68521309065,29843224.218011994,0.0,0.0,2085626.2060654424,True
32,0.5,1.5,3.0,False,,-4861387.40440207,6658557.002581604,25705186.534816325,6436189.1912469845,222367.81133507763,37225130.9418,0.0,0.0,4861387.40440207,True
32,0.5,1.905,3.81,False,,-8680004.513613604,7790332.736095136,30398897.63768526,7534649.578268107,255683.1578273768,46869234.887394,0.0,0.0,8680004.513613604,True
32,0.5,2.115,4.23,False,,-11475908.010867871,8319880.987801284,32074092.379032858,8049389.5508675035,270491.43693407637,51869881.37770201,0.0,0.0,11475908.010867871,True
32,1.0,2.38,2.38,False,,-14109010.693813138,10205031.514659772,35372406.22755108,10963400.95645678,-758369.441796755,59686448.43602399,0.0,0.0,14109010.693813138,True
32,1.0,3.0,3.0,False,,-24874417.603796795,12030289.942137245,37545554.33766595,12872378.417043433,-842088.4749060746,74450261.8836,0.0,0.0,24874417.603796795,True
32,1.0,3.81,3.81,False,,-39205351.98313952,14066594.260346755,40466523.53130173,15069299.145229641,-1002704.8848824488,93738469.774788,0.0,0.0,39205351.98313952,True
32,1.0,4.23,4.23,False,,-46728916.38264036,15030944.475814767,41979901.8969489,16098779.122821067,-1067834.6470056656,103739762.75540403,0.0,0.0,46728916.38264036,True
32,1.5,3.57,2.38,False,,-36281157.47180922,13647146.644489408,39601368.53773737,16445101.432403665,-2797954.7879140256,89529672.654036,0.0,0.0,36281157.47180922,True
32,1.5,4.5,3.0,False,,-52609950.94144525,16113085.07534388,42952356.808610864,19308567.62153985,-3195482.5461955415,111675392.8254,0.0,0.0,52609950.94144525,True
32,1.5,5.715,3.81,False,,-74457278.58943096,18826182.175440617,47324243.8973104,22603948.723754793,-3777766.5483136135,140607704.66218197,0.0,0.0,74457278.58943096,True
