n_workers,n_particles,n_iters_bench,rep,wall_time_s,eval_throughput,n_waves,idle_slots,completed_ok
4,32,10,0,60.65195559999847,5.803605119041023,8,0,True
4,32,10,1,58.658425100002205,6.000843005926301,8,0,True
4,32,10,2,59.29735239999718,5.936184091754099,8,0,True
8,32,10,0,44.50067449999915,7.909992465395255,4,0,True
8,32,10,1,38.169740600002115,9.221964688960462,4,0,True
8,32,10,2,38.042634800003725,9.252776571615527,4,0,True
10,32,10,0,44.08964040000865,7.983734882081981,4,8,True
10,32,10,1,36.50502480000432,9.642508173284636,4,8,True
10,32,10,2,37.434357699996326,9.403126475976228,4,8,True
12,32,10,0,43.07317719999992,8.172139203141965,3,4,True
12,32,10,1,34.48866589998943,10.206251555822224,3,4,True
12,32,10,2,34.979604899999686,10.063006743681177,3,4,True
16,32,10,0,87.23419940000167,4.035114696083212,2,0,True
16,32,10,1,31.417971200004104,11.203778810515749,2,0,True
16,32,10,2,31.283121200001915,11.25207416963172,2,0,True
