point_id,b,S,E,solution_label,coefficient_round,scenario,t,p_center_mw,P_net_mw,Q_mvar,p_slack_mw,line_loss_mw,a_P,a_Q,b_PP,b_QQ,b_PQ,matrix_rank,lambda_min_cost,lambda_max_cost,solver,status,objective,lp_pk_proxy_mw
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,0,0.0,0.1609009170038213,0.07132247126487803,6.282471826429141,0.14688586941807302,-0.062001329528966045,-0.03510079878304753,0.0036149842638302926,0.02044826129666279,0.0005209579416616598,5,0.003610954563871632,0.02045229099662145,CLARABEL,optimal,-26053.813429252572,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,1,0.0,0.017969305779151675,0.17502850220261332,5.8840393975191105,0.1266843054172682,-0.05625177466647742,-0.031853380168716645,0.004794254295059082,0.020073646886689306,0.0003735425567799181,5,0.004791971593080326,0.02007592958866806,CLARABEL,optimal,-26053.813429252572,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,2,0.0,-5.613372787824261e-16,0.17594699209053138,5.668024657420461,0.11747506524774323,-0.05382210184564844,-0.030480648011418615,0.005293311889352204,0.01991582517227311,0.00031219824980069724,5,0.005291645680536289,0.019917491381089024,CLARABEL,optimal,-26053.813429252572,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,3,0.0,-0.05318078243505843,0.16773190535689558,5.578800834136953,0.11440449669128405,-0.05234716428570699,-0.029647192143545616,0.005596672576652816,0.019820107747540963,0.0002752315378546091,5,0.005595341229678955,0.019821439094514823,CLARABEL,optimal,-26053.813429252572,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,4,0.0,-0.14869422748389366,0.09415958110021072,5.592412321475,0.11784013280062701,-0.051467754708257984,-0.02915020965600065,0.005777655695809461,0.019763079963631622,0.0002532899805524698,5,0.0057765089563009955,0.019764226703140087,CLARABEL,optimal,-26053.813429252572,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,5,0.0,-0.14869422748393102,0.09415958110015478,5.586196258850078,0.11757575651066476,-0.05140439845331834,-0.029114273841357972,0.005792859628393463,0.019758421852648474,0.000251701665570037,5,0.00579172561417548,0.01975955586686646,CLARABEL,optimal,-26053.813429252572,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,6,0.0,-0.04694144531555024,0.16962458758000476,5.570600242914056,0.11395536696797012,-0.05232899932305289,-0.02963692800711288,0.005600331656827089,0.019818923006756438,0.0002747413759681755,5,0.005599004595350978,0.01982025006823255,CLARABEL,optimal,-26053.813429252572,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,7,0.0,-1.1716873844426167e-05,0.17594699209053147,5.812857855369656,0.12370763030260408,-0.05531405698710593,-0.03132362423872719,0.004986416632049585,0.02001271538862866,0.00034968076386639863,5,0.004984382530233863,0.02001474949044438,CLARABEL,optimal,-26053.813429252572,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,8,0.0,-1.1716873844014185e-05,0.1759469920905317,6.274230936291704,0.14465592243465045,-0.06010903508542618,-0.034032165216591595,0.004002881577440374,0.020324819534007343,0.00047214473390479113,5,0.003999467858486799,0.020328233252960917,CLARABEL,optimal,-26053.813429252572,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,9,0.0,-7.742146524749959e-17,0.1759469920905318,6.873589870431207,0.17436481560349076,-0.06643496120401735,-0.03760394534001891,0.0027088159068204567,0.0207379809179305,0.0006369930725859312,5,0.0027031912200162437,0.020743605604734712,CLARABEL,optimal,-26053.813429252572,nan
