method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate
pwl,1,P1_old_full_opt,summer,0,0.04715905785595873,0.0,0.04715905785595873,,False
pwl,1,P1_old_full_opt,summer,1,0.0007691882975152104,0.0,0.0007691882975152104,,False
pwl,1,P1_old_full_opt,summer,2,0.0,0.0,0.0,,False
pwl,1,P1_old_full_opt,summer,3,0.012191849942169274,0.02,0.007808150057830726,0.3904075028915363,False
pwl,1,P1_old_full_opt,summer,4,0.04715905785135206,0.0,0.04715905785135206,,False
pwl,1,P1_old_full_opt,summer,5,0.04715905785116259,0.0,0.04715905785116259,,False
pwl,1,P1_old_full_opt,summer,6,3.1386375645911293e-06,0.0,3.1386375645911293e-06,,False
pwl,1,P1_old_full_opt,summer,7,3.1400822129844946e-06,0.0,3.1400822129844946e-06,,False
pwl,1,P1_old_full_opt,summer,8,3.2254791756306205e-06,0.0,3.2254791756306205e-06,,False
pwl,1,P1_old_full_opt,summer,9,1.488570352758575e-10,0.0,1.488570352758575e-10,,False
pwl,1,P1_old_full_opt,summer,10,1.4198908502790215e-10,0.0,1.4198908502790215e-10,,False
pwl,1,P1_old_full_opt,summer,11,1.4666593968195283e-10,0.0,1.4666593968195283e-10,,False
pwl,1,P1_old_full_opt,summer,12,1.4268464021560513e-10,0.0,1.4268464021560513e-10,,False
pwl,1,P1_old_full_opt,summer,13,1.3550552662547962e-10,0.0,1.3550552662547962e-10,,False
pwl,1,P1_old_full_opt,summer,14,1.677880565966277e-10,0.0,1.677880565966277e-10,,False
pwl,1,P1_old_full_opt,summer,15,0.000737997826035298,0.0,0.000737997826035298,,False
pwl,1,P1_old_full_opt,summer,16,0.0471590580504892,0.0,0.0471590580504892,,False
pwl,1,P1_old_full_opt,summer,17,2.451551644420474e-10,0.0,2.451551644420474e-10,,False
pwl,1,P1_old_full_opt,summer,18,1.7245739190852337e-10,0.0,1.7245739190852337e-10,,False
pwl,1,P1_old_full_opt,summer,19,1.6193402511481951e-10,0.0,1.6193402511481951e-10,,False
pwl,1,P1_old_full_opt,summer,20,1.5754749113701274e-10,0.0,1.5754749113701274e-10,,False
pwl,1,P1_old_full_opt,summer,21,1.5083990077440878e-10,0.0,1.5083990077440878e-10,,False
pwl,1,P1_old_full_opt,summer,22,1.4234899614213454e-10,0.0,1.4234899614213454e-10,,False
pwl,1,P1_old_full_opt,summer,23,1.6423245177624356e-10,0.0,1.6423245177624356e-10,,False
pwl,1,P1_old_full_opt,winter,0,0.04715905786776403,0.0,0.04715905786776403,,False
pwl,1,P1_old_full_opt,winter,1,6.099435710266958e-12,0.0,6.099435710266958e-12,,False
pwl,1,P1_old_full_opt,winter,2,2.214591610547632e-12,0.0,2.214591610547632e-12,,False
pwl,1,P1_old_full_opt,winter,3,0.04715905786807451,0.0,0.04715905786807451,,False
pwl,1,P1_old_full_opt,winter,4,0.047159057867978915,0.0,0.047159057867978915,,False
pwl,1,P1_old_full_opt,winter,5,0.011339278145420413,0.02,0.008660721854579587,0.43303609272897936,False
pwl,1,P1_old_full_opt,winter,6,3.1396882247767185e-06,0.0,3.1396882247767185e-06,,False
pwl,1,P1_old_full_opt,winter,7,3.1425871463932464e-06,0.0,3.1425871463932464e-06,,False
pwl,1,P1_old_full_opt,winter,8,1.453124042351531e-10,0.0,1.453124042351531e-10,,False
pwl,1,P1_old_full_opt,winter,9,0.001530598732196566,0.0,0.001530598732196566,,False
pwl,1,P1_old_full_opt,winter,10,0.04715905786799394,0.0,0.04715905786799394,,False
pwl,1,P1_old_full_opt,winter,11,0.04715905786949447,0.0,0.04715905786949447,,False
pwl,1,P1_old_full_opt,winter,12,3.1042267190324025e-12,0.0,3.1042267190324025e-12,,False
pwl,1,P1_old_full_opt,winter,13,2.198406040879727e-12,0.0,2.198406040879727e-12,,False
pwl,1,P1_old_full_opt,winter,14,2.279881887663596e-12,0.0,2.279881887663596e-12,,False
pwl,1,P1_old_full_opt,winter,15,2.3117207035403784e-12,0.0,2.3117207035403784e-12,,False
pwl,1,P1_old_full_opt,winter,16,2.7373052055458904e-12,0.0,2.7373052055458904e-12,,False
pwl,1,P1_old_full_opt,winter,17,3.3066946271941153e-12,0.0,3.3066946271941153e-12,,False
pwl,1,P1_old_full_opt,winter,18,2.3046181238407472e-12,0.0,2.3046181238407472e-12,,False
pwl,1,P1_old_full_opt,winter,19,2.1208392316784035e-12,0.0,2.1208392316784035e-12,,False
pwl,1,P1_old_full_opt,winter,20,2.0863564913573157e-12,0.0,2.0863564913573157e-12,,False
pwl,1,P1_old_full_opt,winter,21,7.0690173398839626e-12,0.0,7.0690173398839626e-12,,False
pwl,1,P1_old_full_opt,winter,22,0.006095179709182272,0.02,0.01390482029081773,0.6952410145408865,False
pwl,1,P1_old_full_opt,winter,23,0.04715905786823358,0.0,0.04715905786823358,,False
pwl,1,P1_old_full_opt,shoulder,0,0.04715905783780223,0.0,0.04715905783780223,,False
pwl,1,P1_old_full_opt,shoulder,1,0.0007691943442521078,0.0,0.0007691943442521078,,False
pwl,1,P1_old_full_opt,shoulder,2,1.1303390224635532e-10,0.0,1.1303390224635532e-10,,False
pwl,1,P1_old_full_opt,shoulder,3,0.04715905762188067,0.0,0.04715905762188067,,False
pwl,1,P1_old_full_opt,shoulder,4,0.04715905782790154,0.0,0.04715905782790154,,False
pwl,1,P1_old_full_opt,shoulder,5,0.012193804980942984,0.02,0.0078061950190570165,0.3903097509528508,False
pwl,1,P1_old_full_opt,shoulder,6,3.152754447929397e-06,0.0,3.152754447929397e-06,,False
pwl,1,P1_old_full_opt,shoulder,7,3.139070375452676e-06,0.0,3.139070375452676e-06,,False
pwl,1,P1_old_full_opt,shoulder,8,1.7746051836762918e-10,0.0,1.7746051836762918e-10,,False
pwl,1,P1_old_full_opt,shoulder,9,2.5470370769475557e-10,0.0,2.5470370769475557e-10,,False
pwl,1,P1_old_full_opt,shoulder,10,0.04715905792415916,0.0,0.04715905792415916,,False
pwl,1,P1_old_full_opt,shoulder,11,0.0007431577175775216,0.0,0.0007431577175775216,,False
pwl,1,P1_old_full_opt,shoulder,12,1.944877171964807e-10,0.0,1.944877171964807e-10,,False
pwl,1,P1_old_full_opt,shoulder,13,1.7497839398245104e-10,0.0,1.7497839398245104e-10,,False
pwl,1,P1_old_full_opt,shoulder,14,1.806974834756949e-10,0.0,1.806974834756949e-10,,False
pwl,1,P1_old_full_opt,shoulder,15,2.0280109008601152e-10,0.0,2.0280109008601152e-10,,False
pwl,1,P1_old_full_opt,shoulder,16,3.626534857755345e-10,0.0,3.626534857755345e-10,,False
pwl,1,P1_old_full_opt,shoulder,17,4.445932379365585e-10,0.0,4.445932379365585e-10,,False
pwl,1,P1_old_full_opt,shoulder,18,3.779847246200118e-10,0.0,3.779847246200118e-10,,False
