method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err
pwl,1,P1_old_full_opt,summer,0,0.04715905785595875,0.0,0.04715905785595875,
pwl,1,P1_old_full_opt,summer,1,0.0007691882975170201,0.0,0.0007691882975170201,
pwl,1,P1_old_full_opt,summer,2,0.0,0.0,0.0,
pwl,1,P1_old_full_opt,summer,3,0.012191849942166662,0.02,0.007808150057833339,0.3904075028916669
pwl,1,P1_old_full_opt,summer,4,0.047159057851351986,0.0,0.047159057851351986,
pwl,1,P1_old_full_opt,summer,5,0.04715905785116256,0.0,0.04715905785116256,
pwl,1,P1_old_full_opt,summer,6,3.1386375635891532e-06,0.0,3.1386375635891532e-06,
pwl,1,P1_old_full_opt,summer,7,3.1400822142197753e-06,0.0,3.1400822142197753e-06,
pwl,1,P1_old_full_opt,summer,8,3.225479292415036e-06,0.0,3.225479292415036e-06,
pwl,1,P1_old_full_opt,summer,9,1.4885746259409493e-10,0.0,1.4885746259409493e-10,
pwl,1,P1_old_full_opt,summer,10,1.419894935937594e-10,0.0,1.419894935937594e-10,
pwl,1,P1_old_full_opt,summer,11,1.4666635976287184e-10,0.0,1.4666635976287184e-10,
pwl,1,P1_old_full_opt,summer,12,1.4268504953640686e-10,0.0,1.4268504953640686e-10,
pwl,1,P1_old_full_opt,summer,13,1.3550591673999066e-10,0.0,1.3550591673999066e-10,
pwl,1,P1_old_full_opt,summer,14,1.6778853424794068e-10,0.0,1.6778853424794068e-10,
pwl,1,P1_old_full_opt,summer,15,0.000737997826034396,0.0,0.000737997826034396,
pwl,1,P1_old_full_opt,summer,16,0.04715905805048967,0.0,0.04715905805048967,
pwl,1,P1_old_full_opt,summer,17,2.4515585653171965e-10,0.0,2.4515585653171965e-10,
pwl,1,P1_old_full_opt,summer,18,1.7245788457296186e-10,0.0,1.7245788457296186e-10,
pwl,1,P1_old_full_opt,summer,19,1.6193448949927963e-10,0.0,1.6193448949927963e-10,
pwl,1,P1_old_full_opt,summer,20,1.5754794324711188e-10,0.0,1.5754794324711188e-10,
