method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate,free_zone_width_mvar,max_uncounted_loss_mva,n_free_zone_hours,n_vertex_stuck_hours,n_nonzero_q_hours,frac_in_free_zone,max_pad_mw,max_pad_scenario,max_pad_t,max_pad_unit,max_pad_annual_won_implied,qp_v2_correction
pwl,1,P1_old_full_opt,summer,0,0.045552151932354,0.0,0.045552151932354,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,1,0.0023760424898507807,0.0,0.0023760424898507807,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,2,1.8733824510192107e-10,0.0,1.8733824510192107e-10,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,3,0.015405795075519375,0.02,0.004594204924480625,0.22971024622403124,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,4,0.04555215192877835,0.0,0.04555215192877835,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,5,0.04555215192871831,0.0,0.04555215192871831,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,6,3.1395793432678523e-06,0.0,3.1395793432678523e-06,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,7,3.1450723134267843e-06,0.0,3.1450723134267843e-06,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,8,3.2798073167616573e-06,0.0,3.2798073167616573e-06,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,9,5.074701680839358e-11,0.0,5.074701680839358e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,10,4.678984030722751e-11,0.0,4.678984030722751e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,11,4.911567260323358e-11,0.0,4.911567260323358e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,12,4.7670950396193536e-11,0.0,4.7670950396193536e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,13,4.5346080511029064e-11,0.0,4.5346080511029064e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,14,5.509413968849381e-11,0.0,5.509413968849381e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,15,0.0023449475534935314,0.0,0.0023449475534935314,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,16,0.045552151989596286,0.0,0.045552151989596286,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,17,7.721735982047142e-11,0.0,7.721735982047142e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,18,5.6067971511817266e-11,0.0,5.6067971511817266e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,19,5.3481733731749584e-11,0.0,5.3481733731749584e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,20,5.2525999574009497e-11,0.0,5.2525999574009497e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,21,4.992919157270968e-11,0.0,4.992919157270968e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,22,4.648596064801555e-11,0.0,4.648596064801555e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,summer,23,5.4667770324500966e-11,0.0,5.4667770324500966e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,0,0.04555215193605885,0.0,0.04555215193605885,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,1,4.433533850084661e-11,0.0,4.433533850084661e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,2,1.9450617748618454e-11,0.0,1.9450617748618454e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,3,0.04555215193890097,0.0,0.04555215193890097,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,4,0.045552151937018365,0.0,0.045552151937018365,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,5,0.012767816634302674,0.02,0.007232183365697326,0.3616091682848663,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,6,3.1446046234094077e-06,0.0,3.1446046234094077e-06,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,7,3.260073626835213e-06,0.0,3.260073626835213e-06,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,8,0.0,0.0,0.0,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,9,0.004744541606663531,0.0,0.004744541606663531,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,10,0.04555215193787447,0.0,0.04555215193787447,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,11,0.045552151945631905,0.0,0.045552151945631905,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,12,2.6318188765308046e-11,0.0,2.6318188765308046e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,13,1.940947797593077e-11,0.0,1.940947797593077e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,14,2.009017122700964e-11,0.0,2.009017122700964e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,15,2.0750153799997145e-11,0.0,2.0750153799997145e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,16,2.4127887698785567e-11,0.0,2.4127887698785567e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,17,2.756391327408568e-11,0.0,2.756391327408568e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,18,2.3156522050705867e-11,0.0,2.3156522050705867e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,19,2.159208376865238e-11,0.0,2.159208376865238e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,20,2.0973068079420923e-11,0.0,2.0973068079420923e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,21,3.8116659363735456e-11,0.0,3.8116659363735456e-11,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,22,0.007702127360136421,0.02,0.01229787263986358,0.614893631993179,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
pwl,1,P1_old_full_opt,winter,23,0.04555215193944726,0.0,0.04555215193944726,,False,0.04555215193804365,0.005997054573123977,30,14,30,1.0,5.995819137046778e-09,summer,8,0,0.12471303805057299,True
