point_id,M,scenario,t,m,boundary_lo,boundary_hi,delta_m,slope
P1_old_full_opt,1,summer,0,0,0.0,0.5,0.5,0.010260080920911768
P1_old_full_opt,1,summer,1,0,0.0,0.5,0.5,0.008553849854732232
P1_old_full_opt,1,summer,2,0,0.0,0.5,0.5,0.007832462425457487
P1_old_full_opt,1,summer,3,0,0.0,0.5,0.5,0.007394444257648625
P1_old_full_opt,1,summer,4,0,0.0,0.5,0.5,0.00713324801874643
P1_old_full_opt,1,summer,5,0,0.0,0.5,0.5,0.0071144297969429615
P1_old_full_opt,1,summer,6,0,0.0,0.5,0.5,0.00738905066702919
P1_old_full_opt,1,summer,7,0,0.0,0.5,0.5,0.008275463669964567
P1_old_full_opt,1,summer,8,0,0.0,0.5,0.5,0.009698661042997936
P1_old_full_opt,1,summer,9,0,0.0,0.5,0.5,0.011574914655620772
P1_old_full_opt,1,summer,10,0,0.0,0.5,0.5,0.012642937935986698
P1_old_full_opt,1,summer,11,0,0.0,0.5,0.5,0.012981713001124884
P1_old_full_opt,1,summer,12,0,0.0,0.5,0.5,0.012840876969048787
P1_old_full_opt,1,summer,13,0,0.0,0.5,0.5,0.012288337260281779
P1_old_full_opt,1,summer,14,0,0.0,0.5,0.5,0.013189064752851087
P1_old_full_opt,1,summer,15,0,0.0,0.5,0.5,0.013654495428182922
P1_old_full_opt,1,summer,16,0,0.0,0.5,0.5,0.01390993101727861
P1_old_full_opt,1,summer,17,0,0.0,0.5,0.5,0.014361643024578374
P1_old_full_opt,1,summer,18,0,0.0,0.5,0.5,0.014317828397901522
P1_old_full_opt,1,summer,19,0,0.0,0.5,0.5,0.014169020083230066
P1_old_full_opt,1,summer,20,0,0.0,0.5,0.5,0.013985541746469765
P1_old_full_opt,1,summer,21,0,0.0,0.5,0.5,0.01330447103897836
P1_old_full_opt,1,summer,22,0,0.0,0.5,0.5,0.01217995528572069
P1_old_full_opt,1,summer,23,0,0.0,0.5,0.5,0.011176685501136763
P1_old_full_opt,1,winter,0,0,0.0,0.5,0.5,0.011190776067019459
P1_old_full_opt,1,winter,1,0,0.0,0.5,0.5,0.009737454039846105
P1_old_full_opt,1,winter,2,0,0.0,0.5,0.5,0.009030838094286786
P1_old_full_opt,1,winter,3,0,0.0,0.5,0.5,0.00862769184979284
P1_old_full_opt,1,winter,4,0,0.0,0.5,0.5,0.008463684763136164
P1_old_full_opt,1,winter,5,0,0.0,0.5,0.5,0.008614012611278421
P1_old_full_opt,1,winter,6,0,0.0,0.5,0.5,0.009146370745599153
P1_old_full_opt,1,winter,7,0,0.0,0.5,0.5,0.010285179566125624
P1_old_full_opt,1,winter,8,0,0.0,0.5,0.5,0.012094485047565495
P1_old_full_opt,1,winter,9,0,0.0,0.5,0.5,0.014268197922693127
P1_old_full_opt,1,winter,10,0,0.0,0.5,0.5,0.01442301980708327
P1_old_full_opt,1,winter,11,0,0.0,0.5,0.5,0.013837289160141819
P1_old_full_opt,1,winter,12,0,0.0,0.5,0.5,0.012950077150776729
P1_old_full_opt,1,winter,13,0,0.0,0.5,0.5,0.011648545658995868
P1_old_full_opt,1,winter,14,0,0.0,0.5,0.5,0.012408283747412097
P1_old_full_opt,1,winter,15,0,0.0,0.5,0.5,0.012812162563428486
P1_old_full_opt,1,winter,16,0,0.0,0.5,0.5,0.01323809399443543
P1_old_full_opt,1,winter,17,0,0.0,0.5,0.5,0.013872149821170243
P1_old_full_opt,1,winter,18,0,0.0,0.5,0.5,0.01386052807717808
P1_old_full_opt,1,winter,19,0,0.0,0.5,0.5,0.013518370924407497
P1_old_full_opt,1,winter,20,0,0.0,0.5,0.5,0.01296733166148778
P1_old_full_opt,1,winter,21,0,0.0,0.5,0.5,0.012217018267653923
P1_old_full_opt,1,winter,22,0,0.0,0.5,0.5,0.011447622796021795
P1_old_full_opt,1,winter,23,0,0.0,0.5,0.5,0.01119641293109841
P1_old_full_opt,1,shoulder,0,0,0.0,0.5,0.5,0.008745423370741967
P1_old_full_opt,1,shoulder,1,0,0.0,0.5,0.5,0.007281250546741558
P1_old_full_opt,1,shoulder,2,0,0.0,0.5,0.5,0.006680083119504465
P1_old_full_opt,1,shoulder,3,0,0.0,0.5,0.5,0.00635977319397002
P1_old_full_opt,1,shoulder,4,0,0.0,0.5,0.5,0.006224007704326129
P1_old_full_opt,1,shoulder,5,0,0.0,0.5,0.5,0.006341125806066578
P1_old_full_opt,1,shoulder,6,0,0.0,0.5,0.5,0.0067871227265764444
P1_old_full_opt,1,shoulder,7,0,0.0,0.5,0.5,0.007661854615386016
P1_old_full_opt,1,shoulder,8,0,0.0,0.5,0.5,0.008775566681314656
P1_old_full_opt,1,shoulder,9,0,0.0,0.5,0.5,0.009823414832032501
P1_old_full_opt,1,shoulder,10,0,0.0,0.5,0.5,0.009859488357129076
P1_old_full_opt,1,shoulder,11,0,0.0,0.5,0.5,0.009543663041087225
P1_old_full_opt,1,shoulder,12,0,0.0,0.5,0.5,0.008975877016284023
P1_old_full_opt,1,shoulder,13,0,0.0,0.5,0.5,0.008177425312509756
P1_old_full_opt,1,shoulder,14,0,0.0,0.5,0.5,0.009025340406212862
