method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate,free_zone_width_mvar,max_uncounted_loss_mva,n_free_zone_hours,n_vertex_stuck_hours,n_nonzero_q_hours,frac_in_free_zone,max_pad_mw,max_pad_scenario,max_pad_t,max_pad_unit,max_pad_annual_won_implied,qp_v2_correction,p_ch,p_dis,p_net,s_app,q_penalty,pcs_true,pcs_charged,poly_n,s_cap,norm_true,s_app_deficit,at_s_cap
baseline_a,,P1_old_full_opt,summer,0,-8.05458169774201e-18,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,8.776082896602113e-13,0.17599999999779323,0.17599999999691562,nan,0.0,0.0,0.0,12,0.17000294542687602,0.17599999999691562,nan,False
baseline_a,,P1_old_full_opt,summer,1,-3.532750834600135e-18,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,1.4594788272722745e-12,0.002870604734422081,0.002870604732962602,nan,0.0,0.0,0.0,12,0.17000294542687602,0.002870604732962602,nan,False
baseline_a,,P1_old_full_opt,summer,2,-2.11507870134959e-18,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,0.0,1.0444269721537607e-08,1.0444269721537607e-08,nan,0.0,0.0,0.0,12,0.17000294542687602,1.0444269721537607e-08,nan,False
baseline_a,,P1_old_full_opt,summer,3,-1.4642366542511585e-18,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,0.045500598852512196,1.4994229361806166e-12,-0.04550059885101277,nan,0.0,0.0,0.0,12,0.17000294542687602,0.04550059885101277,nan,False
baseline_a,,P1_old_full_opt,summer,4,-1.1359645729002307e-18,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,0.17599999999425042,1.1892498837467867e-12,-0.17599999999306118,nan,0.0,0.0,0.0,12,0.17000294542687602,0.17599999999306118,nan,False
baseline_a,,P1_old_full_opt,summer,5,-1.1096540270172444e-18,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,0.17599999999427432,1.1881975177998553e-12,-0.17599999999308613,nan,0.0,0.0,0.0,12,0.17000294542687602,0.17599999999308613,nan,False
baseline_a,,P1_old_full_opt,summer,6,-1.4553050668091693e-18,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,1.1717034971343912e-05,4.349441451311001e-12,-1.1717030621902461e-05,nan,0.0,0.0,0.0,12,0.17000294542687602,1.1717030621902461e-05,nan,False
baseline_a,,P1_old_full_opt,summer,7,-2.914053006200212e-18,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,1.1727202337187608e-05,1.2548943192346279e-11,-1.1727189788244416e-05,nan,0.0,0.0,0.0,12,0.17000294542687602,1.1727189788244416e-05,nan,False
baseline_a,,P1_old_full_opt,summer,8,-6.332966334835619e-18,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,1.1674288911315214e-05,0.0,-1.1674288911315214e-05,nan,0.0,0.0,0.0,12,0.17000294542687602,1.1674288911315214e-05,nan,False
baseline_a,,P1_old_full_opt,summer,9,-1.2552486165048889e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,0.0,1.4492761048844156e-10,1.4492761048844156e-10,nan,0.0,1.6285118309637747e-26,0.0,12,0.17000294542687602,1.449276104884421e-10,nan,False
