poly_n,method,M,point_id,bus,S,E,solve_time_s_per_scenario,solve_time_s_total,n_variables,n_constraints,dpp_ok,solver_status,build_time_s,theory_radius_err,max_s_app_deficit_mva,pcs_gap_won_per_yr,pcs_undercharge_frac_weighted,pcs_ratio_min,pcs_ratio_p25,pcs_ratio_median,pcs_ratio_p75,pcs_ratio_max,s_cap,n_hours_at_s_cap,max_norm_over_S,q_sum_mvar,n_nonzero_q_hours,arb_proxy,q_loss_measured,pcs_true_cost,pcs_charged_cost,actual_line_loss_reduction,b_energy,ledger_residual,j_net,b_minus_a
12,baseline_a,,P1_old_full_opt,15,0.176,0.419,summer:0.027847100;winter:0.034887900;shoulder:0.024583500,0.0873185,97,148,True,summer:optimal;winter:optimal;shoulder:optimal,0.031233100016834214,0.03407417371093169,nan,7.778569336466421e-14,1.0,nan,nan,nan,nan,nan,0.17000294542687602,0,0.999999999999689,-1.8154955663544975e-15,0,1929928.0695698299,0.0,7.778569336466421e-14,0.0,186974.0365203913,2116902.1060901145,-1.0663643479347229e-07,2851468.9153551552,0.0
12,baseline_a,,P2_dev_run1,17,0.303,0.404,summer:0.037956400;winter:0.051031000;shoulder:0.027163100,0.11615049999999999,97,148,True,summer:optimal;winter:optimal;shoulder:optimal,0.009429099998669699,0.03407417371093169,nan,1.409666706007057e-15,1.0,nan,nan,nan,nan,nan,0.29267552536558766,0,0.9999999999998045,-4.525039514911607e-17,0,1970438.069872567,6.884395400304335e-13,1.409666706007057e-15,0.0,145351.04963587743,2115789.1195085067,6.239861249923706e-08,2519239.102197882,0.0
12,baseline_a,,P3_dev_run0,31,1.045,0.405,summer:0.031072600;winter:0.059926000;shoulder:0.016222200,0.1072208,97,148,True,summer:optimal;winter:optimal_inaccurate;shoulder:optimal,0.014101199980359524,0.03407417371093169,nan,9.739619491177484e-14,1.0,nan,nan,nan,nan,nan,1.0093924884720764,0,0.367665614811929,-2.457408842294068e-15,0,2016973.128141027,2.815859047414768e-12,9.739619491177484e-14,0.0,149052.9879551549,2166026.1160959383,-2.4354085326194763e-07,390130.15421386063,0.0
12,qp,,P1_old_full_opt,15,0.176,0.419,summer:0.022391000;winter:0.042768700;shoulder:0.034298000,0.09945770000000001,145,460,True,summer:optimal;winter:optimal;shoulder:optimal,0.37650340000982396,0.03407417371093169,0.005997054573123939,29357.69657476197,0.27187242851289484,3.419260978679168e-14,1.4510854462135279e-12,0.8836634939895234,0.8836634939900814,0.9975882008186561,0.17000294542687602,12,0.9999999999999999,1.1947990482487088,34,1897025.0734858124,237658.79862676183,107983.35357264645,78625.65699788448,428529.8690871288,2217571.588999912,-3.8277357816696167e-07,2952138.398264954,100669.48290979862
12,qp,,P2_dev_run1,17,0.303,0.404,summer:0.037168500;winter:0.041732300;shoulder:0.033645300,0.1125461,145,460,True,summer:optimal;winter:optimal;shoulder:optimal,0.0186282999929972,0.03407417371093169,0.010324474634411607,19622.56864645095,0.1775825948695207,1.2991014230503654e-13,0.8828798522166027,0.883663494024959,0.883663494257708,0.9982402352940577,0.29267552536558766,2,0.9999999999999947,1.236014833893384,28,1955177.9273759453,240675.64730324788,110498.26510795546,90875.69646150451,394501.4411122442,2239181.103380024,-2.100132405757904e-07,2642631.0860693995,123391.9838715177
12,qp,,P3_dev_run0,31,1.045,0.405,summer:0.046598100;winter:0.043309800;shoulder:0.040191300,0.13009920000000003,145,460,True,summer:optimal;winter:optimal;shoulder:optimal,0.01962369997636415,0.03407417371093169,0.01666248658042252,35812.22835447133,0.11618661755600625,0.7307987149087181,0.8836634939895042,0.8836634942376526,0.8836634952473741,0.9540271866327095,1.0093924884720764,0,0.46794863963905764,2.5456425717045774,27,1982672.8847827674,552763.1029378395,308230.23432288587,272418.00596841454,699377.6731430355,2373820.3236028627,-5.4016709327697754e-08,597924.3617207855,207794.20750692487
12,pwl,9,P1_old_full_opt,15,0.176,0.419,summer:0.181946400;winter:0.121561300;shoulder:0.109631600,0.4131393,337,676,True,summer:optimal;winter:optimal;shoulder:optimal,0.02307880000444129,0.03407417371093169,0.005997054573109756,31380.006934116784,0.347011755140498,4.9564034244117e-12,1.5239268321163647e-10,0.8835375523068879,0.8836634940178494,0.883672187759317,0.17000294542687602,14,0.9999999999998703,1.114735297661931,32,1902133.002476859,214188.45784511673,90429.23321549052,59049.22628137373,402214.85744691035,2213918.6267083758,9.73232090473175e-08,2948485.435973417,97016.52061826177
12,pwl,9,P2_dev_run1,17,0.303,0.404,summer:0.264670500;winter:0.278121800;shoulder:0.356990300,0.8997825999999999,337,676,True,summer:optimal;winter:optimal;shoulder:optimal,0.020238400000380352,0.03407417371093169,0.010324474634360037,20120.134716613145,0.18751775123598707,6.153123003205958e-12,0.8836620379931212,0.8836634939928957,0.8836635485881343,0.99998732578819,0.29267552536558766,3,0.9999999999996892,1.2369542400337554,25,1961961.7462607622,233490.45732442028,107297.22697715368,87177.09226054054,381301.71082735976,2235966.2301109424,-2.60770320892334e-08,2639416.2128003184,120177.11060243659
12,pwl,9,P3_dev_run0,31,1.045,0.405,summer:0.115818200;winter:0.357980500;shoulder:0.133479100,0.6072778,337,676,True,summer:optimal;winter:optimal;shoulder:optimal,0.0331268000009004,0.03407417371093169,0.01666248704812029,33022.93448543787,0.11187363269518308,0.832975644413439,0.883661446046588,0.8836634939926727,0.8836634940550111,0.9915700342455606,1.0093924884720764,0,0.46794865278363096,2.467339757736776,25,1983417.5301928027,544597.2964907018,295180.67564154224,262157.74115610437,684631.0659951257,2372867.9205461126,-2.7334317564964294e-07,596971.9586640354,206841.8044501748
16,baseline_a,,P1_old_full_opt,15,0.176,0.419,summer:0.031247400;winter:0.037933000;shoulder:0.028582400,0.09776280000000001,97,148,True,summer:optimal;winter:optimal;shoulder:optimal,0.014267699996707961,0.01921471959676957,nan,7.778570240216276e-14,1.0,nan,nan,nan,nan,nan,0.17261820935096855,0,0.999999999999689,-1.815495715598804e-15,0,1929928.069569785,0.0,7.778570240216276e-14,0.0,186974.03737257334,2116902.1069421233,-2.3515895009040833e-07,2851468.9162071645,0.0
16,baseline_a,,P2_dev_run1,17,0.303,0.404,summer:0.036806600;winter:0.054014700;shoulder:0.030068000,0.12088929999999999,97,148,True,summer:optimal;winter:optimal;shoulder:optimal,0.015870400005951524,0.01921471959676957,nan,1.409666706007057e-15,1.0,nan,nan,nan,nan,nan,0.29717793996217884,0,0.9999999999998045,-4.525039514911607e-17,0,1970438.069872567,6.884395400304335e-13,1.409666706007057e-15,0.0,145351.0496400375,2115789.1195124243,-1.802109181880951e-07,2519239.102201799,0.0
16,baseline_a,,P3_dev_run0,31,1.045,0.405,summer:0.040538300;winter:0.054223700;shoulder:0.022885100,0.1176471,97,148,True,summer:optimal;winter:optimal_inaccurate;shoulder:optimal,0.017737200018018484,0.01921471959676957,nan,9.739619491177484e-14,1.0,nan,nan,nan,nan,nan,1.0249206180213757,0,0.367665614811929,-2.457408842294068e-15,0,2016973.128141027,2.815859047414768e-12,9.739619491177484e-14,0.0,149052.98794927442,2166026.1160899717,-3.296881914138794e-07,390130.1542078946,0.0
16,qp,,P1_old_full_opt,15,0.176,0.419,summer:0.045690400;winter:0.045080400;shoulder:0.048531300,0.13930209999999998,145,556,True,summer:optimal;winter:optimal;shoulder:optimal,0.019164199999067932,0.01921471959676957,0.003381790649031352,17548.226438397935,0.1684674880872107,1.1055382361863583e-13,0.8859866172546951,0.8859866172549642,0.8859866174750743,0.9702951993855244,0.17261820935096855,12,0.9999999999999993,1.175801855405862,32,1904166.0879802462,230301.12900557136,104163.87540196319,86615.64896356525,421856.66194891144,2221858.874527051,-1.434236764907837e-07,2956425.683792094,104956.76758492924
16,qp,,P2_dev_run1,17,0.303,0.404,summer:0.038689200;winter:0.042524700;shoulder:0.041366500,0.1225804,145,556,True,summer:optimal;winter:optimal;shoulder:optimal,0.015550600015558302,0.01921471959676957,0.005822060037810051,14536.49634358978,0.11521862231695225,3.4793552772382642e-12,0.8859866172547588,0.8859866173334012,0.8859866181921242,0.9999810984280989,0.29717793996217884,2,0.9999999999999448,1.4357520007757785,26,1951487.7600476958,260805.2775152012,126164.46934768642,111627.97300409664,415202.8042355211,2240526.0949353487,-1.816079020500183e-07,2643976.0776247233,124736.97542292438
16,qp,,P3_dev_run0,31,1.045,0.405,summer:0.041776700;winter:0.040850100;shoulder:0.044056800,0.1266836,145,556,True,summer:optimal;winter:optimal;shoulder:optimal,0.019443900004262105,0.01921471959676957,0.008878855238429018,18792.48732146414,0.07814396618675964,0.8859866172546992,0.8859866172548676,0.8859866194971687,0.956765453995548,0.9718163328107846,1.0249206180213757,0,0.4421876752923156,2.1538230320482508,25,1996098.3117252872,474678.0643531383,240485.45573629014,221692.968414826,624256.8301398294,2379869.686128823,-3.259629011154175e-09,603973.7242467459,213843.57003885135
16,pwl,9,P1_old_full_opt,15,0.176,0.419,summer:0.120405500;winter:0.226713100;shoulder:0.139822600,0.48694119999999996,337,772,True,summer:optimal;winter:optimal;shoulder:optimal,0.020763800013810396,0.01921471959676957,0.0033817906490156147,17890.20172832688,0.16310945153666515,1.0150776030376347e-11,0.883124591803916,0.8859866172699596,0.8859866250752972,0.99116962205215,0.17261820935096855,14,0.9999999999998579,1.1970849924970992,32,1905443.7302857304,234741.39108506573,109682.1892280434,91791.98749971652,424434.0984143578,2220195.6394715924,-4.5262277126312256e-07,2954762.448736634,103293.53252946958
16,pwl,9,P2_dev_run1,17,0.303,0.404,summer:0.179567300;winter:0.100929700;shoulder:0.201445900,0.4819429,337,772,True,summer:optimal;winter:optimal_inaccurate;shoulder:optimal,0.02546269999584183,0.01921471959676957,0.005822060037701804,14496.69148791609,0.12155419788670076,2.1659299533985687e-11,0.8859864747912906,0.8859866172813006,0.885987153269204,0.9991415865827475,0.29717793996217884,3,0.9999999999994114,1.333461561977841,25,1962721.640881142,246472.93444275518,119261.13404514657,104764.44255723048,393324.4722872336,2236784.9791228925,-3.366731107234955e-07,2640234.961812267,120995.85961046815
16,pwl,9,P3_dev_run0,31,1.045,0.405,summer:0.116246800;winter:0.151152600;shoulder:0.076611000,0.3440104,337,772,True,summer:optimal;winter:optimal_inaccurate;shoulder:optimal,0.021161100012250245,0.01921471959676957,0.008878857480817515,16848.885516309034,0.06862896485935231,0.8243837435974757,0.8859866172573233,0.8859874194921749,0.9567654531182211,0.9897682953154785,1.0249206180213757,0,0.44218778705493306,2.1683736957417854,25,2004020.8322729545,476012.30922711955,245506.91607893276,228658.03056262372,620594.1758334108,2379108.0920271054,-3.2689422369003296e-07,603212.1301450282,213081.97593713365
32,baseline_a,,P1_old_full_opt,15,0.176,0.419,summer:0.031948100;winter:0.031888600;shoulder:0.025266900,0.08910359999999999,97,148,True,summer:optimal;winter:optimal;shoulder:optimal,0.022643700009211898,0.004815273327803071,nan,7.778597256393568e-14,1.0,nan,nan,nan,nan,nan,0.17515251189430664,0,0.999999999999689,-1.8154073052522794e-15,0,1929928.0694873054,0.0,7.778597256393568e-14,0.0,186974.03736710356,2116902.1068540676,-3.413297235965729e-07,2851468.91611911,0.0
32,baseline_a,,P2_dev_run1,17,0.303,0.404,summer:0.041262100;winter:0.047517600;shoulder:0.027033600,0.11581330000000001,97,148,True,summer:optimal;winter:optimal;shoulder:optimal,0.015492400008952245,0.004815273327803071,nan,1.409666706007057e-15,1.0,nan,nan,nan,nan,nan,0.30154097218167564,0,0.9999999999998045,-4.525039514911607e-17,0,1970438.069872567,6.884395400304335e-13,1.409666706007057e-15,0.0,145351.0496442969,2115789.119516746,-1.1781230568885803e-07,2519239.1022061203,0.0
