point_id,b,S,E,scenario,t,n_feasible,matrix_rank,n_unique_p,n_unique_q,A_P,A_Q,B_PP,B_QQ,B_PQ,relative_max_residual,rmse_mw,lambda_min_cost,lambda_max_cost,lambda_min_over_lambda_max_pct,is_psd_cost
P1_old_full_opt,15,0.176,0.419,summer_peak,0,37,5,9,17,-0.06854475882293742,-0.03984261389104645,0.019167910744021043,0.02578629422947704,0.0011769590014603232,0.006537572850634048,3.123349727194026e-05,0.019115992831751336,0.025838212141746746,73.98341931276919,True
P1_old_full_opt,15,0.176,0.419,summer_peak,1,37,5,9,17,-0.06088615576614772,-0.035401446900513264,0.01885271655803787,0.02473960783179928,0.0009638820304933848,0.006572551286032593,2.7768616844314118e-05,0.018813522531893712,0.024778801857943438,75.9258766414591,True
P1_old_full_opt,15,0.176,0.419,summer_peak,2,37,5,9,17,-0.05797090607327619,-0.033710296558299505,0.018734257344878394,0.024342078576009438,0.0008843895833379883,0.006588455702350405,2.6449411170721162e-05,0.018699603010709595,0.024376732910178237,76.71086638071085,True
P1_old_full_opt,15,0.176,0.419,summer_peak,3,37,5,9,17,-0.056160713425673844,-0.03265998036346199,0.01866119020574873,0.024095311221949196,0.0008354471484839782,0.006599233031557357,2.563051744930987e-05,0.0186292671218362,0.02412723430586173,77.21260914397556,True
P1_old_full_opt,15,0.176,0.419,summer_peak,4,37,5,9,17,-0.05506736424553534,-0.032025522293594955,0.018617224623888637,0.023946330530224835,0.0008060475932337961,0.006606110755408282,2.513593559948019e-05,0.01858691753971225,0.023976637614401226,77.52095118019501,True
P1_old_full_opt,15,0.176,0.419,summer_peak,5,37,5,9,17,-0.05495734803531028,-0.03196167817764584,0.018612807573878645,0.02393134244624608,0.0008030960478641706,0.006606819033615731,2.5086170190117668e-05,0.01858266167019233,0.023961488349932395,77.55220126067319,True
P1_old_full_opt,15,0.176,0.419,summer_peak,6,37,5,9,17,-0.056050265333629154,-0.03259589111572229,0.01865674299588806,0.024080259531495174,0.0008324717421240371,0.006599914699190966,2.5580553878934748e-05,0.018624984323091523,0.02411201820429171,77.24357274985987,True
P1_old_full_opt,15,0.176,0.419,summer_peak,7,37,5,9,17,-0.05955050915563717,-0.03462669988985513,0.01879829780756361,0.02455752353280744,0.0009273702968248046,0.006579623283148412,2.716403073769805e-05,0.0187612046247576,0.02459461671561345,76.28175239196709,True
P1_old_full_opt,15,0.176,0.419,summer_peak,8,37,5,9,17,-0.06548300076455847,-0.03806743123082698,0.01904117303284124,0.025367569403858935,0.0010910692515280693,0.006550512186750495,2.9848285749605858e-05,0.018994475458560686,0.025414266978139487,74.73941890552699,True
P1_old_full_opt,15,0.176,0.419,summer_peak,9,37,5,9,17,-0.07341540801487006,-0.042665676073083914,0.019371750726255174,0.0264529425784105,0.0013155998029747151,0.006519419200203665,3.343814530755691e-05,0.01931116348257397,0.026513529822091705,72.83512837465892,True
