point_id,b,S,E,scenario,t,n_feasible,matrix_rank,A_P,A_Q,B_PP,B_QQ,B_PQ,relative_max_residual,rmse_mw,lambda_min,lambda_max,lambda_min_over_lambda_max_pct,is_psd
P1_old_full_opt,15,0.176,0.419,summer,0,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,1,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,2,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,3,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,4,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,5,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,6,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,7,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,8,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,9,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,10,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,11,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,12,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,13,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,14,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,15,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,16,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,17,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,18,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,19,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,20,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,21,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,22,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,summer,23,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,0,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,1,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,2,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,3,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,4,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,5,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,6,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,7,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,8,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,9,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,10,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,11,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,12,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,13,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,14,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,15,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,16,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,17,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,18,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,19,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,20,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,21,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,22,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,winter,23,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,0,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,1,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,2,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,3,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,4,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,5,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,6,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,7,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,8,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,9,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,10,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,11,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,12,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,13,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,14,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,15,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,16,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,17,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,18,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,19,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,20,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,21,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,22,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P1_old_full_opt,15,0.176,0.419,shoulder,23,16,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
P2_dev_run1,17,0.303,0.404,summer,0,24,5,0.06402653280696084,0.037374147178810414,-0.024659692053624192,-0.02347164608474875,-0.0018092636630992515,0.0005748659118858492,5.230569246869987e-06,-0.025147899200301443,-0.0229834389380715,109.41747781114064,False
P2_dev_run1,17,0.303,0.404,summer,1,24,5,0.05808368320884145,0.03391159867511162,-0.02423026438230559,-0.02314565253746673,-0.0016192179696839263,0.0006093103228151956,5.074221183324736e-06,-0.02466241339564667,-0.022713503524125652,108.58040182770984,False
P2_dev_run1,17,0.303,0.404,summer,2,24,5,0.055573006493720586,0.03244824664307747,-0.02405009970389619,-0.02300858192072584,-0.0015401419489360288,0.0006260033117405004,5.0089734208815796e-06,-0.024458963923514224,-0.022599717701107806,108.22685595898076,False
P2_dev_run1,17,0.303,0.404,summer,3,24,5,0.05404909337665668,0.03155985364582712,-0.02394114259848479,-0.022925519312661215,-0.0014924951974854236,0.0006368433390619986,4.9698258409387446e-06,-0.0243359704978633,-0.022530691413282705,108.01253299983645,False
P2_dev_run1,17,0.303,0.404,summer,4,24,5,0.05314055398311473,0.031030145659129406,-0.023876317764953848,-0.02287606061698329,-0.001464214471178341,0.0006435855482698008,4.94659288756291e-06,-0.0242628174078208,-0.02248956097411634,107.8847979102186,False
P2_dev_run1,17,0.303,0.404,summer,5,24,5,0.05307510253853723,0.030991983653181374,-0.0238716516322616,-0.02287249939489415,-0.0014621807432502914,0.0006440796642017329,4.944922237596186e-06,-0.02425755246406393,-0.02248659856309182,107.87559708509606,False
P2_dev_run1,17,0.303,0.404,summer,6,24,5,0.054030330993380955,0.031548915009080976,-0.023939802877503923,-0.022924497465104915,-0.0014919102182365145,0.0006369804073959905,4.9693452330188e-06,-0.024334458486090067,-0.02252984185651877,108.00989479226705,False
P2_dev_run1,17,0.303,0.404,summer,7,24,5,0.05711467050871747,0.03334686357209331,-0.024160612991520277,-0.02309274519236524,-0.001588612862972117,0.0006155972425345943,5.048805211780718e-06,-0.024583762221152636,-0.022669595962732877,108.44375992217289,False
P2_dev_run1,17,0.303,0.404,summer,8,24,5,0.06207036504002306,0.03623463684960139,-0.02451781702986785,-0.023364195546268715,-0.0017462611968764416,0.0005855153134315583,5.178409763828821e-06,-0.0249874611001765,-0.022894551475960062,109.14151834952546,False
P2_dev_run1,17,0.303,0.404,summer,9,24,5,0.06861072936614213,0.04004389017900353,-0.024993824638093614,-0.023724562594288606,-0.0019586287344576002,0.0005523102800131425,5.353149442685085e-06,-0.02552616112380294,-0.02319222610857928,110.06343679255649,False
P2_dev_run1,17,0.303,0.404,summer,10,24,5,0.07233750062267759,0.04221347420599536,-0.02526739593705642,-0.023930979522892037,-0.0020818402244878855,0.0005360557486617295,5.454619326113432e-06,-0.02583612624424482,-0.023362249215703637,110.5892074247641,False
P2_dev_run1,17,0.303,0.404,summer,11,24,5,0.07352022078321674,0.0429018631898851,-0.02535457120529614,-0.023996650723071524,-0.0021212776308363714,0.0005312438575516863,5.4871126995669504e-06,-0.025934952738994377,-0.023416269189373288,110.75612655992232,False
P2_dev_run1,17,0.303,0.404,summer,12,24,5,0.0730285034734163,0.042615673133842624,-0.025318307180585413,-0.0239693382978396,-0.002104861837663269,0.0005332252532780272,5.4735864513847356e-06,-0.02589383877933636,-0.02339380669908865,110.68672624513523,False
P2_dev_run1,17,0.303,0.404,summer,13,24,5,0.07109983991884194,0.0414930327842632,-0.02517635449454547,-0.023862341882863746,-0.0020407439330667578,0.0005412642435160064,5.4207670239938815e-06,-0.02573294459443505,-0.023305751782974164,110.41456561480267,False
P2_dev_run1,17,0.303,0.404,summer,14,24,5,0.07424426407562286,0.043323250039311846,-0.0254080231209682,-0.024036892420143847,-0.002145500455190718,0.0005283747529433036,5.5070741808234135e-06,-0.02599556141931824,-0.023449354121793806,110.85832592360397,False
P2_dev_run1,17,0.303,0.404,summer,15,24,5,0.07586988465859719,0.04426925208205353,-0.025528267287674693,-0.024127350284480237,-0.0022001066107530435,0.0005221360322167101,5.552084492143743e-06,-0.026131940446275027,-0.023523677125879904,111.08782145936532,False
P2_dev_run1,17,0.303,0.404,summer,16,24,5,0.07676228902790606,0.04478851587134393,-0.025594414547150595,-0.024177071345829464,-0.0022302135351993774,0.0005188259845494699,5.5769072029130435e-06,-0.026206984234343776,-0.023564501658636283,111.21382753595826,False
P2_dev_run1,17,0.303,0.404,summer,17,24,5,0.07834083458485624,0.04570692879440008,-0.025711659574386793,-0.024265130860022965,-0.002283694977986387,0.0005131605528054982,5.621013381925299e-06,-0.026340033859183508,-0.02363675657522625,111.43675222678635,False
P2_dev_run1,17,0.303,0.404,summer,18,24,5,0.07818769711131927,0.045617837316905614,-0.025700272034035583,-0.024256581924354845,-0.002278493977927299,0.0005136998465095401,5.616723461842944e-06,-0.026327109293552545,-0.023629744664837884,111.41512389140819,False
P2_dev_run1,17,0.303,0.404,summer,19,24,5,0.07766763178670719,0.0453152679626689,-0.025661620657851464,-0.024227558981521107,-0.002260851358289647,0.0005155476948250386,5.602172423160235e-06,-0.026283244158546732,-0.023605935480825836,111.34167582511427,False
P2_dev_run1,17,0.303,0.404,summer,20,24,5,0.0770264796775998,0.044942233074987806,-0.025614015762645416,-0.024191799530048824,-0.0022391442175596194,0.0005178611519874708,5.584271311103696e-06,-0.02622922452395329,-0.02357659076874095,111.25113372510725,False
P2_dev_run1,17,0.303,0.404,summer,21,24,5,0.07464729429866918,0.0435577987987754,-0.025437804329997416,-0.02405930525005725,-0.0021590100925864253,0.0005268022012375231,5.518208403772757e-06,-0.026029334268829786,-0.02346777531122488,110.91521852256565,False
P2_dev_run1,17,0.303,0.404,summer,22,24,5,0.07072161752561193,0.04127285447080237,-0.02514857011469096,-0.023841383768336284,-0.0020282204144649986,0.0005428925215778253,5.4104525776475765e-06,-0.025701460902632527,-0.023288492980394718,110.36120252293333,False
P2_dev_run1,17,0.303,0.404,summer,23,24,5,0.06722185946623876,0.039235163879945946,-0.024892306075076597,-0.023647836134314933,-0.0019131205523470723,0.0005588283091662933,5.3156887239229945e-06,-0.02541120384032209,-0.02312893836906944,109.86757556630765,False
P2_dev_run1,17,0.303,0.404,winter,0,24,5,0.0672709954110258,0.03926377696243562,-0.024895893615343306,-0.023650548740601445,-0.0019147267691704314,0.0005585931534401684,5.317010767222829e-06,-0.025415265666775644,-0.023131176689169107,109.87450404404215,False
P2_dev_run1,17,0.303,0.404,winter,1,24,5,0.062205509080575885,0.036313334776712766,-0.02452765317730541,-0.0233715359935699,-0.001750599688171647,0.0005847396203444279,5.182322905111356e-06,-0.024998547183360365,-0.022900641987514944,109.16090124018865,False
P2_dev_run1,17,0.303,0.404,winter,2,24,5,0.05974438856628201,0.03487940696719324,-0.024349789598788297,-0.023236616964211077,-0.0016719186794622624,0.0005990349567597779,5.117281065314305e-06,-0.024797502214226694,-0.02278890434877268,108.81392907141756,False
P2_dev_run1,17,0.303,0.404,winter,3,24,5,0.0583407423525371,0.034061436870055174,-0.02424870946843736,-0.02315977507747189,-0.0016273548610754968,0.0006076968945464232,5.0806475259936565e-06,-0.02468328031507727,-0.022725204230831977,108.6163189749851,False
P2_dev_run1,17,0.303,0.404,winter,4,24,5,0.057769816154680236,0.03372870217996523,-0.02420766418492633,-0.023128551759237205,-0.0016092931212289517,0.0006113357579546767,5.065801836526092e-06,-0.02463690980647716,-0.022699306137686375,108.5359598969146,False
