point_id,scenario,t,p_t,q_star_t,gain_t_won,s_utilization
P1_old_full_opt,summer,0,0.17599998761503122,0.0,0.0,0.9999999296308593
P1_old_full_opt,summer,1,0.0028706689148419247,0.0,0.0,0.01631061883432912
P1_old_full_opt,summer,2,-5.9160430456156623e-08,0.0,0.0,3.3613880940998085e-07
P1_old_full_opt,summer,3,-0.045499708219304505,0.02,20.369138235327757,0.28239399157670414
P1_old_full_opt,summer,4,-0.17599997087733668,0.0,0.0,0.9999998345303222
P1_old_full_opt,summer,5,-0.17599997223852823,0.0,0.0,0.999999842264365
P1_old_full_opt,summer,6,-1.2624143019503819e-05,0.0,0.0,7.172808533808988e-05
P1_old_full_opt,summer,7,-1.1721210181127646e-05,0.0,0.0,6.659778512004345e-05
P1_old_full_opt,summer,8,-1.1672549361017636e-05,0.0,0.0,6.63213031876002e-05
P1_old_full_opt,summer,9,-2.461317826322529e-08,0.0,0.0,1.3984760376832552e-07
P1_old_full_opt,summer,10,-5.540870208220145e-10,0.0,0.0,3.1482217092159917e-09
P1_old_full_opt,summer,11,1.0129662645756929e-08,0.0,0.0,5.755490139634619e-08
P1_old_full_opt,summer,12,9.333048131437726e-09,0.0,0.0,5.302868256498708e-08
P1_old_full_opt,summer,13,-8.655165485873458e-10,0.0,0.0,4.917707662428101e-09
P1_old_full_opt,summer,14,2.014248676658069e-08,0.0,0.0,1.144459475373903e-07
P1_old_full_opt,summer,15,0.0027545139730307477,0.0,0.0,0.01565064757403834
P1_old_full_opt,summer,16,0.17599962759417004,0.0,0.0,0.9999978840577843
P1_old_full_opt,summer,17,3.4085730801497414e-08,0.0,0.0,1.9366892500850805e-07
P1_old_full_opt,summer,18,1.4378585910382334e-08,0.0,0.0,8.169651085444508e-08
P1_old_full_opt,summer,19,8.370430419085813e-09,0.0,0.0,4.7559263744805756e-08
P1_old_full_opt,summer,20,7.117236371415564e-09,0.0,0.0,4.043884301940662e-08
P1_old_full_opt,summer,21,-1.3662133740358087e-09,0.0,0.0,7.762575988839823e-09
P1_old_full_opt,summer,22,-9.614729136728814e-09,0.0,0.0,5.462914282232281e-08
P1_old_full_opt,summer,23,-2.241422574237866e-08,0.0,0.0,1.273535553544242e-07
P1_old_full_opt,winter,0,0.175999998099898,0.0,0.0,0.9999999892039659
P1_old_full_opt,winter,1,7.363496740957917e-09,0.0,0.0,4.1838049664533624e-08
P1_old_full_opt,winter,2,-2.634469117427381e-09,0.0,0.0,1.4968574530837394e-08
P1_old_full_opt,winter,3,-0.17599998702915368,0.0,0.0,0.9999999263020096
P1_old_full_opt,winter,4,-0.17599999401816907,0.0,0.0,0.9999999660123243
P1_old_full_opt,winter,5,-0.042318781876995185,0.02,26.77196700993851,0.2659478955971322
P1_old_full_opt,winter,6,-1.1718891293711964e-05,0.0,0.0,6.658460962336344e-05
P1_old_full_opt,winter,7,-1.171734742942125e-05,0.0,0.0,6.657583766716619e-05
P1_old_full_opt,winter,8,-7.753232851482092e-09,0.0,0.0,4.405245938342098e-08
P1_old_full_opt,winter,9,0.005712286448699409,0.0,0.0,0.032456173003973916
P1_old_full_opt,winter,10,0.17599999810640526,0.0,0.0,0.999999989240939
P1_old_full_opt,winter,11,0.17599998852931695,0.0,0.0,0.9999999348256645
P1_old_full_opt,winter,12,2.3656242683611626e-09,0.0,0.0,1.3441046979324789e-08
P1_old_full_opt,winter,13,-7.922346358179999e-10,0.0,0.0,4.501333158056817e-09
P1_old_full_opt,winter,14,4.751326789277627e-11,0.0,0.0,2.699617493907743e-10
P1_old_full_opt,winter,15,3.5468219099033113e-10,0.0,0.0,2.0152397215359724e-09
P1_old_full_opt,winter,16,8.14284106183491e-10,0.0,0.0,4.626614239678927e-09
P1_old_full_opt,winter,17,5.817076903927689e-10,0.0,0.0,3.3051573317770963e-09
P1_old_full_opt,winter,18,-1.2937093204333934e-11,0.0,0.0,7.350621138826099e-11
P1_old_full_opt,winter,19,-4.970358450198976e-10,0.0,0.0,2.8240673012494184e-09
P1_old_full_opt,winter,20,-1.1921095262692406e-09,0.0,0.0,6.773349581075231e-09
P1_old_full_opt,winter,21,-4.286590131632641e-09,0.0,0.0,2.4355625747912734e-08
P1_old_full_opt,winter,22,-0.022747518823577784,0.02,25.37150520633484,0.1720990381149769
P1_old_full_opt,winter,23,-0.17599999450681308,0.0,0.0,0.9999999687887108
P1_old_full_opt,shoulder,0,0.17599999979185954,0.0,0.0,0.9999999988173838
P1_old_full_opt,shoulder,1,0.0028706448640799143,0.0,0.0,0.01631048218227224
P1_old_full_opt,shoulder,2,-7.893841344753554e-10,0.0,0.0,4.485137127700883e-09
P1_old_full_opt,shoulder,3,-0.17599998761309288,0.0,0.0,0.999999929619846
P1_old_full_opt,shoulder,4,-0.1759999994167789,0.0,0.0,0.9999999966862438
P1_old_full_opt,shoulder,5,-0.045507910870308456,0.02,19.6020085695777,0.28243665821204345
P1_old_full_opt,shoulder,6,-1.1716838487365944e-05,0.0,0.0,6.657294595094287e-05
P1_old_full_opt,shoulder,7,-1.1716844852576674e-05,0.0,0.0,6.657298211691293e-05
P1_old_full_opt,shoulder,8,-7.556489866174774e-10,0.0,0.0,4.2934601512356674e-09
P1_old_full_opt,shoulder,9,2.852377712009122e-10,0.0,0.0,1.6206691545506377e-09
P1_old_full_opt,shoulder,10,0.17599999835662172,0.0,0.0,0.9999999906626235
P1_old_full_opt,shoulder,11,0.002773503454756626,0.0,0.0,0.01575854235657174
P1_old_full_opt,shoulder,12,1.6038804807852814e-10,0.0,0.0,9.112957277189099e-10
P1_old_full_opt,shoulder,13,-1.761212645414315e-10,0.0,0.0,1.0006890030763154e-09
P1_old_full_opt,shoulder,14,2.7104355737490998e-11,0.0,0.0,1.540020212357443e-10
P1_old_full_opt,shoulder,15,1.5546635644600826e-10,0.0,0.0,8.833315707159561e-10
P1_old_full_opt,shoulder,16,4.171560192862756e-10,0.0,0.0,2.370204655035657e-09
P1_old_full_opt,shoulder,17,4.871338027631767e-10,0.0,0.0,2.7678056975180496e-09
P1_old_full_opt,shoulder,18,3.7128726284382e-10,0.0,0.0,2.109586720703523e-09
P1_old_full_opt,shoulder,19,5.575356051933014e-10,0.0,0.0,3.167815938598304e-09
P1_old_full_opt,shoulder,20,3.120726984447912e-10,0.0,0.0,1.7731403320726772e-09
P1_old_full_opt,shoulder,21,5.299708294844863e-11,0.0,0.0,3.0111978947982177e-10
P1_old_full_opt,shoulder,22,-7.679277237786972e-11,0.0,0.0,4.363225703288053e-10
P1_old_full_opt,shoulder,23,-2.3046420832297717e-10,0.0,0.0,1.3094557291078249e-09
P1_old_full_opt,summer_peak,0,0.0002696991385490177,0.0,0.0,0.0015323814690285098
P1_old_full_opt,summer_peak,1,-0.010465376632857099,0.0,0.0,0.059462367232142606
P1_old_full_opt,summer_peak,2,-0.011729203695107923,0.0,0.0,0.0666432028131132
P1_old_full_opt,summer_peak,3,-0.012444037212542863,0.0,0.0,0.07070475688944809
P1_old_full_opt,summer_peak,4,-0.013441669247401047,0.02,0.15181959167964026,0.13691631279580468
P1_old_full_opt,summer_peak,5,-0.014622255538544307,0.02,1.8142050485811723,0.14076816140674178
P1_old_full_opt,summer_peak,6,-0.016135713269145327,0.02,4.733251130030575,0.14600849359175
P1_old_full_opt,summer_peak,7,-0.01666670570130803,0.02,8.36052391502882,0.1479215373621661
P1_old_full_opt,summer_peak,8,-0.016178371163987224,0.02,12.96247854356337,0.14616080462408232
P1_old_full_opt,summer_peak,9,-0.010759891862790277,0.02,9.287109101333535,0.12903799042621295
P1_old_full_opt,summer_peak,10,-0.007102303282141426,0.02,3.9084396032923814,0.12058883914902234
P1_old_full_opt,summer_peak,11,-0.01062933763001965,0.02,15.16942399814,0.12868820460636096
P1_old_full_opt,summer_peak,12,-0.022889896176040328,0.02,36.550330422066715,0.17270739895292042
P1_old_full_opt,summer_peak,13,-0.048253407141609916,0.05,71.26194914325242,0.3948103794118241
P1_old_full_opt,summer_peak,14,-0.0573466688435338,0.05,94.39997265432005,0.43229042760555186
P1_old_full_opt,summer_peak,15,-0.05840792411768545,0.05,102.53992125740318,0.43685332962344425
P1_old_full_opt,summer_peak,16,-0.01226794432400527,0.02,25.17296674034481,0.1333112999592546
P1_old_full_opt,summer_peak,17,0.1382334817796707,0.1,218.27800716177356,0.9693870453552399
P1_old_full_opt,summer_peak,18,0.13993396353319754,0.1,218.04066884837292,0.9772316678430323
P1_old_full_opt,summer_peak,19,0.07956685958987308,0.1,138.44814626928328,0.7260929072080313
P1_old_full_opt,summer_peak,20,-0.0009275312019103085,0.0,0.0,0.005270063647217662
P1_old_full_opt,summer_peak,21,-0.0846151512491011,0.1,127.39690503964576,0.7442905056640697
P1_old_full_opt,summer_peak,22,-0.06754845401648546,0.05,88.64128465598743,0.4775024352524755
P1_old_full_opt,summer_peak,23,-0.06224218341000218,0.05,71.30338796832261,0.4536244004774875
P1_old_full_opt,winter_peak,0,-0.002060669446547661,0.0,0.0,0.01170834912811171
P1_old_full_opt,winter_peak,1,-0.010588933487705315,0.02,2.2950977016627987,0.128580626628324
P1_old_full_opt,winter_peak,2,-0.01299374392031967,0.02,5.508952431894793,0.13551313619324365
P1_old_full_opt,winter_peak,3,-0.015129087301925276,0.02,8.248961403595533,0.14248673303804194
P1_old_full_opt,winter_peak,4,-0.018537028260189492,0.02,12.988110307802645,0.15493990194705282
P1_old_full_opt,winter_peak,5,-0.023889645598126244,0.02,19.880988203181825,0.17702444432058428
P1_old_full_opt,winter_peak,6,-0.03277367609012319,0.02,29.259413021348383,0.21814880820216642
P1_old_full_opt,winter_peak,7,-0.046944491485539405,0.05,45.771624811320144,0.38968265594074686
P1_old_full_opt,winter_peak,8,-0.06861727519714234,0.05,95.87731992765517,0.482397086542949
P1_old_full_opt,winter_peak,9,-0.03434185612473798,0.05,69.9788922606187,0.3446463277548423
P1_old_full_opt,winter_peak,10,0.1759992044884622,0.0,0.0,0.9999954800480808
P1_old_full_opt,winter_peak,11,0.14802349361025804,0.05,188.14269033147454,0.8877275829395468
P1_old_full_opt,winter_peak,12,-0.01829644818844795,0.02,41.09010876239047,0.15401396077432783
P1_old_full_opt,winter_peak,13,-0.11160975240074117,0.1,182.55984356377354,0.8514529548153421
P1_old_full_opt,winter_peak,14,-0.08278449261301055,0.1,147.33034981495194,0.7376145077005679
P1_old_full_opt,winter_peak,15,-0.037522964052324484,0.05,76.91233068110147,0.35519193824329415
P1_old_full_opt,winter_peak,16,0.004441401521689273,0.0,0.0,0.02523523591868905
P1_old_full_opt,winter_peak,17,0.11177795289424387,0.1,215.3779465093556,0.8521649695746804
P1_old_full_opt,winter_peak,18,0.028924031844617393,0.05,56.10919264712942,0.32820060709741283
P1_old_full_opt,winter_peak,19,-0.04764062608142491,0.05,91.34427880946244,0.3924005824631896
P1_old_full_opt,winter_peak,20,-0.03802278517821876,0.05,63.79412505674733,0.3569037694431407
P1_old_full_opt,winter_peak,21,-0.02982997133690081,0.02,45.2375945007047,0.20405775111862584
P1_old_full_opt,winter_peak,22,-0.026386872567156536,0.02,37.21708980096111,0.18812456617314946
P1_old_full_opt,winter_peak,23,-0.023332604102832083,0.02,31.794411048031296,0.174609438569515
P2_dev_run1,summer,0,0.17246777435432534,0.1,115.80658629402012,0.6579597847388962
P2_dev_run1,summer,1,-6.022459722717863e-09,0.0,0.0,1.9876104695438493e-08
P2_dev_run1,summer,2,-5.976299831207895e-07,0.0,0.0,1.972376181916797e-06
P2_dev_run1,summer,3,-6.051652505359134e-07,0.0,0.0,1.997245051273642e-06
P2_dev_run1,summer,4,-0.0802666913456109,0.05,33.441584640500075,0.31209924344257306
P2_dev_run1,summer,5,-0.30299801852951663,0.0,0.0,0.9999934604934543
P2_dev_run1,summer,6,-1.130319812773506e-05,0.0,0.0,3.730428424995069e-05
P2_dev_run1,summer,7,-1.1299146930335926e-05,0.0,0.0,3.729091396150471e-05
P2_dev_run1,summer,8,-1.1287920264043684e-05,0.0,0.0,3.7253862257569914e-05
P2_dev_run1,summer,9,-6.795635632462809e-09,0.0,0.0,2.2427840371164387e-08
P2_dev_run1,summer,10,-3.7495649635073167e-10,0.0,0.0,1.2374801859760122e-09
P2_dev_run1,summer,11,3.1193693528146007e-09,0.0,0.0,1.0294948359124095e-08
P2_dev_run1,summer,12,3.0453258128296252e-09,0.0,0.0,1.00505802403618e-08
P2_dev_run1,summer,13,-4.92700433270648e-10,0.0,0.0,1.626074037196858e-09
P2_dev_run1,summer,14,6.873636414016695e-09,0.0,0.0,2.2685268693124408e-08
P2_dev_run1,summer,15,7.95584420628948e-08,0.0,0.0,2.6256911571912475e-07
P2_dev_run1,summer,16,0.17235474956241761,0.1,183.14249547519597,0.6576371127657507
P2_dev_run1,summer,17,1.1046504958128998e-08,0.0,0.0,3.6457112073032997e-08
P2_dev_run1,summer,18,4.773681767890331e-09,0.0,0.0,1.575472530656875e-08
P2_dev_run1,summer,19,2.688022263396169e-09,0.0,0.0,8.871360605267884e-09
P2_dev_run1,summer,20,2.2468652022662965e-09,0.0,0.0,7.415396707149494e-09
P2_dev_run1,summer,21,-8.65101791328458e-10,0.0,0.0,2.855121423526264e-09
P2_dev_run1,summer,22,-4.09514566002744e-09,0.0,0.0,1.3515332211311682e-08
P2_dev_run1,summer,23,-9.337191626567312e-09,0.0,0.0,3.081581394906704e-08
P2_dev_run1,winter,0,0.17246777287990384,0.1,148.8555992460926,0.6579597805292556
P2_dev_run1,winter,1,-8.701584199865562e-10,0.0,0.0,2.8718099669523307e-09
P2_dev_run1,winter,2,-5.955304817110398e-07,0.0,0.0,1.9654471343598674e-06
P2_dev_run1,winter,3,-0.08026473250038779,0.05,51.60649545325503,0.3120937561763791
P2_dev_run1,winter,4,-0.30299999295626034,0.0,0.0,0.9999999767533345
P2_dev_run1,winter,5,-1.1303627266866338e-05,0.0,0.0,3.7305700550713986e-05
P2_dev_run1,winter,6,-1.1298538648837908e-05,0.0,0.0,3.728890643180828e-05
P2_dev_run1,winter,7,-1.1297951955285844e-05,0.0,0.0,3.7286970149458234e-05
P2_dev_run1,winter,8,-1.6033962919821424e-08,0.0,0.0,5.291736937234793e-08
P2_dev_run1,winter,9,3.5380366831027508e-09,0.0,0.0,1.167668872311139e-08
P2_dev_run1,winter,10,0.3029999979418378,0.0,0.0,0.9999999932073855
P2_dev_run1,winter,11,0.041909770783823685,0.05,64.52697235012846,0.21531786380597695
P2_dev_run1,winter,12,9.265765438894402e-10,0.0,0.0,3.05800839567472e-09
P2_dev_run1,winter,13,-8.903311636512496e-10,0.0,0.0,2.9383866787169956e-09
P2_dev_run1,winter,14,-1.5202647852827247e-10,0.0,0.0,5.01737552898589e-10
