point_id,b,S,E,power_factor,k,j_net,b_energy,b_defer,b_arb,b_loss,cost,loss_line_total_mwh,loss_pcs_total_mwh,q_total_mvarh,n_clipped_hours,v_violation,i_violation
P1_old_full_opt,15,0.176,0.419,0.850241,0.0,3028768.8389419597,2104892.5353777804,11431548.74058458,1908126.360049081,196766.17532891198,10507672.4370204,944.9684163140237,0.0,0.0,0,0.0,0.0
P1_old_full_opt,15,0.176,0.419,0.850241,0.25,3096826.1495262403,2153827.797514898,11450670.789031742,1908126.360049081,245701.4374667026,10507672.4370204,943.7557908643853,0.8784166042051215,0.7730115281153752,0,0.0,0.0
P1_old_full_opt,15,0.176,0.419,0.850241,0.5,3154821.832926234,2195571.757773335,11466922.512173299,1908126.360049081,287445.3977247658,10507672.4370204,942.5546223132533,1.7941928608814663,1.5460230562307504,0,0.0,0.0
P1_old_full_opt,15,0.176,0.419,0.850241,0.75,3208282.4883375913,2233284.8234168733,11482670.101941118,1908126.360049081,325158.46336837247,10507672.4370204,941.3636233089762,2.7273449099300664,2.3190345843461255,0,0.0,0.0
P1_old_full_opt,15,0.176,0.419,0.850241,1.0,3258511.0537336674,2268242.764993835,11497940.725760233,1908126.360049081,360116.4049450591,10507672.4370204,940.1822797174656,3.6698142108792764,3.092046112461501,0,0.0,0.0
P1_old_full_opt,15,0.176,0.419,0.850241,1.25,3306049.2875955794,2300981.4961018437,11512740.228514137,1908126.360049081,392855.1360532602,10507672.4370204,939.0103726948312,4.6182086980510695,3.8650576405768757,0,0.0,0.0
P1_old_full_opt,15,0.176,0.419,0.850241,1.5,3351163.140125459,2331764.6895180424,11527070.887627818,1908126.360049081,423638.32946921326,10507672.4370204,937.8477913854108,5.570851610622594,4.638069168692251,0,0.0,0.0
P1_old_full_opt,15,0.176,0.419,0.850241,2.0,3434662.8059897814,2388004.9266565805,11554330.316353602,1908126.360049081,479878.56660757714,10507672.4370204,935.550366618286,7.485408461151687,6.184092224923002,0,0.0,0.0
P1_old_full_opt,15,0.176,0.419,0.95,0.0,2820383.481627561,2097747.8186026183,11230308.100045344,1908125.9374695793,189621.8811333144,10507672.4370204,713.622224410253,0.0,0.0,0,0.0,0.0
P1_old_full_opt,15,0.176,0.419,0.95,0.25,2793867.928587025,2071781.2293712483,11229759.136236178,1908125.9374695793,163655.29190184042,10507672.4370204,713.2007671826212,0.5979198240609453,0.485040242430975,0,0.0,0.0
